Date,Ambulance attendances - Total,Ambulance attendances - COVID-19 suspected,Ambulance attendances - COVID-19 suspected patients taken to hospital
18/03/2020,1538,292,180
19/03/2020,1572,339,203
20/03/2020,1593,360,222
21/03/2020,1545,317,179
22/03/2020,1510,391,215
23/03/2020,1649,449,253
24/03/2020,1537,542,287
25/03/2020,1626,587,295
26/03/2020,1622,617,315
27/03/2020,1640,557,293
28/03/2020,1615,516,271
29/03/2020,1510,469,263
30/03/2020,1613,533,291
31/03/2020,1595,561,325
01/04/2020,1672,593,327
02/04/2020,1578,522,291
03/04/2020,1579,609,360
04/04/2020,1603,597,336
05/04/2020,1586,610,363
06/04/2020,1664,653,366
07/04/2020,1567,568,336
08/04/2020,1580,563,332
09/04/2020,1593,511,270
10/04/2020,1672,580,334
11/04/2020,1600,479,251
12/04/2020,1508,479,282
13/04/2020,1447,460,267
14/04/2020,1429,451,246
15/04/2020,1516,421,217
16/04/2020,1525,433,242
17/04/2020,1563,418,246
18/04/2020,1458,405,251
19/04/2020,1455,371,218
20/04/2020,1569,353,205
21/04/2020,1418,269,156
22/04/2020,1392,308,193
23/04/2020,1493,327,205
24/04/2020,1509,338,214
25/04/2020,1573,353,210
26/04/2020,1554,307,194
27/04/2020,1532,343,225
28/04/2020,1553,334,220
29/04/2020,1530,320,219
30/04/2020,1516,360,256
01/05/2020,1702,380,249
02/05/2020,1567,349,203
03/05/2020,1500,317,193
04/05/2020,1607,346,220
05/05/2020,1577,326,227
06/05/2020,1560,311,210
07/05/2020,1543,319,213
08/05/2020,1601,297,197
09/05/2020,1552,271,162
10/05/2020,1459,242,157
11/05/2020,1501,295,198
12/05/2020,1459,311,195
13/05/2020,1473,262,175
14/05/2020,1527,260,170
15/05/2020,1650,274,193
16/05/2020,1524,287,190
17/05/2020,1543,276,186
18/05/2020,1654,341,244
19/05/2020,1614,323,201
20/05/2020,1686,264,186
21/05/2020,1624,267,183
22/05/2020,1612,271,178
23/05/2020,1441,268,175
24/05/2020,1521,255,155
25/05/2020,1577,265,180
26/05/2020,1606,241,149
27/05/2020,1629,257,168
28/05/2020,1682,251,165
29/05/2020,1818,198,131
30/05/2020,1636,206,131
31/05/2020,1634,217,151
01/06/2020,1791,262,183
02/06/2020,1631,219,152
03/06/2020,1592,211,136
04/06/2020,1547,225,158
