Date,Universities - Students - Positive tests reported - Cumulative total,Universities - Students - Positive tests reported - Weekly increase,Universities - Students - Positive tests reported - Average daily increase (7-day average)
2020-10-16,2300,480,70
2020-10-23,2600,250,35
2020-10-30,2900,180,25
2020-11-06,3100,190,25
2020-11-10,3200,160,20
2020-11-13,3300,170,25
2020-11-17,3400,190,30
2020-11-20,3400,200,30
2020-11-27,3700,210,30
2020-12-04,3800,120,15
2020-12-11,3900,90,15
2021-01-15,4200,NA,NA
2021-01-22,4300,90,15
2021-01-29,4400,80,10
2021-02-05,4400,70,10
2021-02-12,4500,70,10
2021-02-19,4600,40,5
