Date,Vaccinations - By JCVI priority group - Care home residents - Number vaccinated,Vaccinations - By JCVI priority group - Care home residents - Older adult care homes - Percentage of estimated population vaccinated,Vaccinations - By JCVI priority group - Care home residents - All care homes - Percentage of estimated population vaccinated,Vaccinations - By JCVI priority group - Care home staff - Number vaccinated,Vaccinations - By JCVI priority group - Care home staff - Older adult care homes - Percentage of estimated population vaccinated,Vaccinations - By JCVI priority group - Care home staff - All care homes - Percentage of estimated population vaccinated,Vaccinations - By JCVI priority group - Aged 80 or over excluding care home residents - Number vaccinated,Vaccinations - By JCVI priority group - Aged 80 or over excluding care home residents - Percentage of estimated population vaccinated,Vaccinations - By JCVI priority group - Frontline health and social care workers - Number vaccinated,Vaccinations - By JCVI priority group - Frontline health and social care workers - Percentage of estimated population vaccinated,Vaccinations - By JCVI priority group - Aged 75 to 79 excluding care home residents - Number vaccinated,Vaccinations - By JCVI priority group - Aged 75 to 79 excluding care home residents - Percentage of estimated population vaccinated,Vaccinations - By JCVI priority group - Aged 70 to 74 excluding care home residents - Number vaccinated,Vaccinations - By JCVI priority group - Aged 70 to 74 excluding care home residents - Percentage of estimated population vaccinated,Vaccinations - By JCVI priority group - Clinically extremely vulnerable - Number vaccinated,Vaccinations - By JCVI priority group - Clinically extremely vulnerable - Percentage of estimated population vaccinated
2021-01-25,28371,94.57,88.659375,36108,80.24,69.4384615384615,115882,46.3528,218985,95.2108695652174,NA,NA,NA,NA,NA,NA
2021-01-26,28409,94.6966666666667,88.778125,37394,83.0977777777778,71.9115384615385,127658,51.0632,226257,98.3726086956522,NA,NA,NA,NA,NA,NA
2021-01-27,28558,95.1933333333333,89.24375,37792,83.9822222222222,72.6769230769231,140885,56.354,233681,101.600434782609,NA,NA,NA,NA,NA,NA
2021-01-28,28648,95.4933333333333,89.525,38095,84.6555555555556,73.2596153846154,157907,63.1628,240506,104.567826086957,NA,NA,NA,NA,NA,NA
2021-01-29,28792,95.9733333333333,89.975,38416,85.3688888888889,73.8769230769231,170024,68.0096,246803,107.305652173913,NA,NA,NA,NA,NA,NA
2021-01-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-02-01,29264,97.5466666666667,91.45,39385,87.5222222222222,75.7403846153846,199261,79.7044,258918,112.573043478261,26059,13.7152631578947,NA,NA,NA,NA
2021-02-02,29302,97.6733333333333,91.56875,39570,87.9333333333333,76.0961538461538,208447,83.3788,261716,113.789565217391,39364,20.7178947368421,NA,NA,NA,NA
2021-02-03,29404,98.0133333333333,91.8875,39734,88.2977777777778,76.4115384615385,216815,86.726,264598,115.042608695652,53851,28.3426315789474,NA,NA,NA,NA
