Date,Vaccinations - By age group - Age 80 or over - Number vaccinated with first dose,Vaccinations - By age group - Age 75 to 79 - Number vaccinated with first dose,Vaccinations - By age group - Age 70 to 74 - Number vaccinated with first dose,Vaccinations - By age group - Age 65 to 69 - Number vaccinated with first dose
2021-02-15T00:00:00Z,269951,195841,237058,159947
2021-02-16T00:00:00Z,270654,199163,245231,173918
2021-02-17T00:00:00Z,271528,201356,250986,190651
2021-02-18T00:00:00Z,272333,203726,256381,207534
2021-02-19T00:00:00Z,273063,205981,261681,220470
2021-02-20T00:00:00Z,273668,207506,265912,232549
2021-02-21T00:00:00Z,273935,208641,267914,238951
2021-02-22T00:00:00Z,274159,209297,269165,242231
2021-02-23T00:00:00Z,274508,210181,271014,246235
2021-02-24T00:00:00Z,274861,210689,272301,250585
2021-02-25T00:00:00Z,275223,211268,273419,255266
