Date,Ayrshire and Arran,Borders,Dumfries and Galloway,Fife,Forth Valley,Grampian,Greater Glasgow and Clyde,Highland,Lanarkshire,Lothian,Orkney,Shetland,Tayside,Western Isles,The Golden Jubilee National Hospital
2020-03-26T00:00:00Z,14,5,11,20,29,8,125,7,NA,66,*,*,26,*,*
2020-03-27T00:00:00Z,19,6,13,23,31,13,153,6,41,73,*,*,25,*,*
2020-03-28T00:00:00Z,20,15,13,30,32,16,200,7,62,83,*,*,32,*,*
2020-03-29T00:00:00Z,28,20,15,31,34,19,213,11,71,88,*,*,34,*,*
2020-03-30T00:00:00Z,34,17,16,41,36,20,226,8,83,99,*,*,46,*,*
2020-03-31T00:00:00Z,37,28,21,52,43,28,287,11,89,107,*,*,48,*,*
2020-04-01T00:00:00Z,32,29,20,34,52,31,331,10,101,118,*,*,52,*,*
2020-04-02T00:00:00Z,39,28,19,65,57,30,347,16,115,128,*,*,64,*,*
2020-04-03T00:00:00Z,45,34,19,76,65,45,404,17,113,149,*,*,67,*,*
2020-04-04T00:00:00Z,47,36,20,84,63,44,421,24,133,158,*,*,74,*,*
2020-04-05T00:00:00Z,46,40,23,87,59,53,458,35,151,166,*,*,83,*,*
2020-04-06T00:00:00Z,49,41,21,95,55,61,476,34,151,183,*,*,93,*,*
2020-04-07T00:00:00Z,55,39,16,89,60,61,534,35,168,179,*,*,91,*,*
2020-04-08T00:00:00Z,63,39,20,96,59,62,555,34,176,204,*,*,105,*,*
2020-04-09T00:00:00Z,63,46,22,100,56,72,563,30,188,204,*,*,94,*,*
2020-04-10T00:00:00Z,62,45,24,94,53,72,571,42,196,205,*,*,94,*,*
2020-04-11T00:00:00Z,62,44,25,97,57,73,590,39,181,200,*,*,97,*,*
2020-04-12T00:00:00Z,62,44,24,99,58,78,597,40,187,201,*,*,94,*,*
2020-04-13T00:00:00Z,67,41,23,101,57,77,583,46,189,204,*,*,92,*,*
2020-04-14T00:00:00Z,72,42,19,102,56,78,594,43,187,221,*,*,97,*,*
2020-04-15T00:00:00Z,72,42,20,92,56,73,598,49,167,221,*,*,93,*,*
2020-04-16T00:00:00Z,79,43,20,96,51,71,606,49,154,217,*,*,90,*,*
2020-04-17T00:00:00Z,82,43,19,98,47,69,580,49,179,229,*,*,89,*,*
2020-04-18T00:00:00Z,81,42,21,91,51,75,593,46,173,236,*,*,89,*,*
2020-04-19T00:00:00Z,91,43,20,105,50,72,593,45,180,228,*,*,90,*,*
2020-04-20T00:00:00Z,95,41,24,105,49,73,603,46,169,224,*,*,87,*,*
2020-04-21T00:00:00Z,87,39,23,102,43,75,583,43,163,234,*,*,77,*,*
2020-04-22T00:00:00Z,79,38,18,100,44,68,574,39,161,241,*,*,66,*,*
2020-04-23T00:00:00Z,78,34,16,113,36,71,564,39,167,230,*,*,71,*,*
2020-04-24T00:00:00Z,69,34,11,110,41,71,561,26,163,230,*,*,64,*,*
2020-04-25T00:00:00Z,69,34,11,111,40,69,557,32,158,234,*,*,67,*,*
2020-04-26T00:00:00Z,66,34,12,113,39,71,557,33,158,227,*,*,69,*,*
2020-04-27T00:00:00Z,68,34,12,109,36,73,557,32,167,227,*,*,69,*,*
2020-04-28T00:00:00Z,66,32,13,113,40,71,542,27,174,213,*,*,65,*,*
2020-04-29T00:00:00Z,61,31,13,114,42,80,555,19,170,209,*,*,66,*,*
2020-04-30T00:00:00Z,62,31,10,103,37,85,548,15,163,203,*,*,65,*,*
2020-05-01T00:00:00Z,62,30,10,100,37,90,538,8,160,200,*,*,65,*,*
2020-05-02T00:00:00Z,61,27,8,100,34,94,530,13,152,197,*,*,59,*,*
2020-05-03T00:00:00Z,61,25,8,100,36,98,526,13,147,194,*,*,56,*,*
2020-05-04T00:00:00Z,59,25,7,100,36,99,533,11,150,200,*,*,57,*,*
2020-05-05T00:00:00Z,57,26,5,89,30,97,523,11,144,197,*,*,44,*,*
2020-05-06T00:00:00Z,56,28,*,90,27,94,509,13,136,197,*,*,47,*,*
2020-05-07T00:00:00Z,54,29,*,86,26,93,506,12,135,202,*,*,48,*,*
2020-05-08T00:00:00Z,52,28,*,88,26,89,502,9,125,195,*,*,47,*,*
2020-05-09T00:00:00Z,55,28,*,84,28,91,496,10,120,197,*,*,44,*,*
2020-05-10T00:00:00Z,43,27,*,82,27,92,492,9,113,200,*,*,41,*,*
2020-05-11T00:00:00Z,41,28,*,80,28,99,497,9,117,202,*,*,37,*,5
2020-05-12T00:00:00Z,39,26,*,81,26,99,496,6,114,208,*,*,29,*,5
2020-05-13T00:00:00Z,39,27,*,75,25,97,486,5,106,206,*,*,27,*,6
2020-05-14T00:00:00Z,41,27,*,76,22,98,473,5,122,203,*,*,25,*,6
2020-05-15T00:00:00Z,42,25,*,75,21,96,460,5,113,200,*,*,23,*,*
2020-05-16T00:00:00Z,33,25,*,74,19,92,433,7,107,193,*,*,22,*,*
2020-05-17T00:00:00Z,32,26,*,76,19,89,432,6,107,192,*,*,23,*,*
2020-05-18T00:00:00Z,32,27,*,75,19,88,434,6,103,192,*,*,23,*,*
2020-05-19T00:00:00Z,32,21,*,74,19,84,428,5,95,187,*,*,18,*,*
2020-05-20T00:00:00Z,29,21,*,72,15,80,412,13,91,183,*,*,21,*,*
2020-05-21T00:00:00Z,29,12,*,70,14,72,400,12,95,180,*,*,20,*,*
2020-05-22T00:00:00Z,26,12,*,69,14,68,389,12,90,174,*,*,15,*,*
2020-05-23T00:00:00Z,21,11,*,69,16,70,379,10,86,162,*,*,13,*,*
2020-05-24T00:00:00Z,25,11,*,69,14,72,379,10,83,165,*,*,13,*,*
2020-05-25T00:00:00Z,21,11,*,69,16,71,384,10,82,168,*,*,14,*,*
2020-05-26T00:00:00Z,19,9,*,67,15,66,382,8,83,169,*,*,13,*,*
2020-05-27T00:00:00Z,16,*,*,66,10,69,378,9,78,164,*,*,14,*,*
2020-05-28T00:00:00Z,16,*,*,68,10,65,369,9,76,167,*,*,13,*,*
2020-05-29T00:00:00Z,13,*,*,65,10,65,354,11,77,160,*,*,10,*,*
2020-05-30T00:00:00Z,11,*,*,62,10,66,343,9,69,155,*,*,8,*,*
2020-05-31T00:00:00Z,11,*,*,63,10,66,338,9,71,156,*,*,9,*,*
2020-06-01T00:00:00Z,13,*,*,64,9,69,338,9,68,156,*,*,10,*,*
2020-06-02T00:00:00Z,11,*,*,62,9,64,332,10,66,150,*,*,10,*,*
2020-06-03T00:00:00Z,10,*,*,62,12,64,332,9,66,144,*,*,9,*,*
2020-06-04T00:00:00Z,8,*,*,63,14,66,317,8,62,145,*,*,8,*,*
2020-06-05T00:00:00Z,8,*,*,65,13,63,311,6,65,143,*,*,8,*,*
2020-06-06T00:00:00Z,8,*,*,60,12,62,294,6,59,143,*,*,8,*,*
2020-06-07T00:00:00Z,10,*,*,60,10,60,295,6,58,146,*,*,7,*,*
2020-06-08T00:00:00Z,10,*,*,61,12,60,301,7,57,145,*,*,7,*,*
2020-06-09T00:00:00Z,11,*,*,58,10,62,289,8,56,145,*,*,8,*,*
2020-06-10T00:00:00Z,8,*,*,58,9,60,279,9,55,142,*,*,7,*,*
2020-06-11T00:00:00Z,7,*,*,57,9,60,272,7,52,141,*,*,*,*,*
2020-06-12T00:00:00Z,6,*,*,57,7,58,260,7,51,138,*,*,5,*,*
2020-06-13T00:00:00Z,6,*,*,58,7,56,255,7,50,135,*,*,7,*,*
2020-06-14T00:00:00Z,5,*,*,57,5,56,255,7,49,134,*,*,6,*,*
2020-06-15T00:00:00Z,5,*,*,56,6,56,262,7,49,131,*,*,5,*,*
2020-06-16T00:00:00Z,5,*,*,56,7,58,255,7,44,131,*,*,*,*,*
2020-06-17T00:00:00Z,*,*,*,56,6,55,256,5,38,130,*,*,*,*,*
2020-06-18T00:00:00Z,*,*,*,57,7,50,249,5,43,128,*,*,*,*,*
2020-06-19T00:00:00Z,*,*,*,53,*,48,241,6,39,121,*,*,*,*,*
