Date,Ayrshire and Arran,Borders,Dumfries and Galloway,Fife,Forth Valley,Grampian,Greater Glasgow and Clyde,Highland,Lanarkshire,Lothian,Orkney,Shetland,Tayside,Western Isles,The Golden Jubilee National Hospital
2020-03-26,31,*,12,25,33,*,N/A,32,N/A,13,*,*,24,*,*
2020-03-27,25,19,18,28,33,*,N/A,22,51,42,*,*,25,*,*
2020-03-28,31,20,28,20,33,*,N/A,31,48,22,*,*,29,*,5
2020-03-29,24,17,24,33,50,*,N/A,27,60,18,*,*,28,*,6
2020-03-30,17,17,21,40,58,*,N/A,25,66,9,*,*,28,*,6
2020-03-31,20,13,18,22,58,*,N/A,32,68,46,*,*,28,5,5
2020-04-01,30,24,27,26,57,*,N/A,38,46,50,*,*,28,*,5
2020-04-02,32,25,27,33,52,*,N/A,24,71,69,*,*,25,*,*
2020-04-03,29,20,21,19,43,*,N/A,22,79,66,*,*,18,*,*
2020-04-04,32,21,16,31,36,*,N/A,27,90,74,5,*,37,*,*
2020-04-05,38,17,20,33,29,*,N/A,16,88,104,*,*,35,*,*
2020-04-06,34,10,26,20,51,*,N/A,26,88,95,*,*,26,*,*
2020-04-07,49,15,13,42,59,*,N/A,27,78,82,*,*,34,*,*
2020-04-08,28,17,24,31,48,*,N/A,27,73,71,*,*,29,*,5
2020-04-09,31,21,18,36,50,*,N/A,26,68,65,*,*,15,*,*
2020-04-10,48,19,25,37,33,*,N/A,12,91,72,*,*,18,*,6
2020-04-11,64,18,36,32,40,*,N/A,16,76,62,*,*,26,*,5
2020-04-12,28,6,19,23,33,13,N/A,13,60,44,*,*,19,*,*
2020-04-13,35,13,28,20,35,12,N/A,16,74,54,*,*,23,*,*
2020-04-14,40,15,21,18,37,8,N/A,15,74,42,*,*,12,*,*
2020-04-15,43,13,16,13,40,5,N/A,12,58,38,*,*,17,*,*
2020-04-16,30,23,11,29,46,15,N/A,11,49,67,*,*,28,*,6
2020-04-17,37,13,10,26,33,16,N/A,13,82,49,*,*,20,*,6
2020-04-18,37,10,8,28,26,9,N/A,13,79,50,*,*,19,*,8
2020-04-19,31,14,15,22,28,8,N/A,20,69,51,*,*,8,*,8
2020-04-20,34,14,13,15,40,11,N/A,12,69,44,*,*,23,*,7
2020-04-21,34,15,14,36,48,16,N/A,25,77,88,*,5,21,*,10
2020-04-22,24,14,11,35,40,23,N/A,29,86,47,*,*,24,*,9
2020-04-23,26,6,20,28,49,31,N/A,17,70,47,*,*,26,*,5
2020-04-24,44,6,17,26,42,29,N/A,29,73,45,*,*,14,*,*
2020-04-25,33,22,13,22,56,29,N/A,20,86,53,*,*,25,*,*
2020-04-26,25,15,10,40,45,17,N/A,17,83,74,*,*,22,*,*
2020-04-27,33,6,16,43,51,17,N/A,16,90,74,*,*,26,*,*
2020-04-28,46,17,12,33,67,26,N/A,34,83,50,*,*,23,*,*
2020-04-29,48,6,19,34,50,24,N/A,24,83,45,*,*,30,*,*
2020-04-30,51,12,11,39,41,34,N/A,27,100,77,*,*,30,*,*
2020-05-01,43,7,14,39,51,29,N/A,26,98,110,*,*,21,*,*
2020-05-02,42,9,15,30,61,31,N/A,23,95,61,*,*,27,*,*
2020-05-03,54,10,10,23,30,49,N/A,28,86,75,*,*,32,*,*
2020-05-04,27,5,14,25,34,31,N/A,33,107,127,*,*,35,*,*
2020-05-05,36,6,16,29,51,68,N/A,41,79,77,*,*,20,*,*
2020-05-06,52,9,17,19,55,57,N/A,24,93,77,*,*,17,*,*
2020-05-07,43,9,15,14,53,42,N/A,15,77,100,*,*,17,*,*
2020-05-08,39,15,22,22,49,49,N/A,24,81,92,*,*,16,*,5
2020-05-09,36,7,17,36,51,27,N/A,25,72,126,*,*,19,*,*
2020-05-10,38,11,7,33,58,17,N/A,25,53,92,*,*,16,*,*
2020-05-11,37,8,*,33,66,20,N/A,25,57,38,*,*,15,*,*
2020-05-12,32,12,13,25,58,43,N/A,55,94,123,*,*,26,*,*
2020-05-13,30,13,8,22,55,42,N/A,51,84,111,*,*,14,*,*
2020-05-14,24,17,7,32,50,53,N/A,28,61,88,*,*,18,*,*
2020-05-15,25,9,13,28,39,53,N/A,27,84,87,*,*,12,*,*
