Date,Ayrshire and Arran,Borders,Dumfries and Galloway,Fife,Forth Valley,Grampian,Greater Glasgow and Clyde,Highland,Lanarkshire,Lothian,Orkney,Shetland,Tayside,Western Isles,The Golden Jubilee National Hospital
2020-03-18,*,*,*,18,*,*,18,*,46,41,*,6,10,*,*
2020-03-19,31,11,*,24,5,*,22,16,37,39,*,8,17,*,*
2020-03-20,37,7,5,20,6,*,32,11,53,48,*,6,17,*,*
2020-03-21,27,12,5,16,8,6,42,14,37,49,*,*,23,*,*
2020-03-22,38,18,6,23,8,7,57,28,44,24,*,*,26,*,*
2020-03-23,25,10,7,28,13,6,70,36,49,53,*,*,26,*,*
2020-03-24,36,10,20,42,14,5,87,43,64,88,*,*,30,*,*
2020-03-25,41,16,20,28,19,7,104,39,80,86,*,*,40,*,*
2020-03-26,45,9,23,45,62,8,125,39,85,79,*,*,50,*,*
2020-03-27,44,25,31,51,64,13,153,28,92,115,*,*,50,*,*
2020-03-28,51,35,41,50,65,16,200,38,110,105,*,*,61,*,5
2020-03-29,52,37,39,64,84,21,213,38,131,106,*,*,62,*,6
2020-03-30,51,34,37,81,94,23,226,33,149,108,*,*,74,*,6
2020-03-31,57,41,39,74,101,29,287,43,157,153,*,5,76,5,5
2020-04-01,62,53,47,60,109,32,331,48,147,168,*,*,80,5,5
2020-04-02,71,53,46,98,109,31,347,40,186,197,*,*,89,*,*
2020-04-03,74,54,40,95,108,45,404,39,192,215,*,*,85,*,*
2020-04-04,79,57,36,115,99,44,421,51,223,232,6,*,111,*,*
2020-04-05,84,57,43,120,88,53,458,51,239,270,*,*,118,*,*
2020-04-06,83,51,47,115,106,61,476,60,239,278,*,5,119,*,*
2020-04-07,104,54,29,131,119,61,534,62,246,261,*,*,125,*,*
2020-04-08,91,56,44,127,107,62,555,61,249,275,*,*,134,*,5
2020-04-09,94,67,40,136,106,73,563,56,256,269,*,*,109,*,*
2020-04-10,110,64,49,131,86,74,571,54,287,277,*,*,112,*,7
2020-04-11,126,62,61,129,97,77,590,55,257,262,*,*,123,*,7
2020-04-12,90,50,43,122,91,91,597,53,247,245,*,*,113,*,5
2020-04-13,102,54,51,121,92,89,583,62,263,258,*,*,115,*,5
2020-04-14,112,57,40,120,93,86,594,58,261,263,*,*,109,*,7
2020-04-15,116,55,36,105,96,78,598,61,225,259,*,*,110,*,7
2020-04-16,110,66,31,125,97,86,606,60,203,284,*,*,118,*,9
2020-04-17,119,56,29,124,80,85,580,62,261,278,*,*,109,*,9
2020-04-18,118,52,29,119,77,84,593,59,252,286,*,*,108,*,10
2020-04-19,122,57,35,127,78,80,593,65,249,279,*,*,98,*,10
2020-04-20,129,55,37,120,89,84,603,58,238,268,*,*,110,*,10
2020-04-21,121,54,37,138,91,91,583,68,240,322,*,6,98,*,12
2020-04-22,103,52,29,135,84,91,574,68,247,288,*,*,90,*,12
2020-04-23,104,40,36,141,85,102,564,56,237,277,*,*,97,*,8
2020-04-24,113,40,28,136,83,100,561,55,236,275,*,*,78,*,5
2020-04-25,102,56,24,133,96,98,557,52,244,287,*,*,92,*,*
2020-04-26,91,49,22,153,84,88,557,50,241,301,*,*,91,*,*
2020-04-27,101,40,28,152,87,90,557,48,257,301,*,*,95,*,*
2020-04-28,112,49,25,146,107,97,542,61,257,263,*,*,88,*,*
2020-04-29,109,37,32,148,92,104,555,43,253,254,*,*,96,*,*
2020-04-30,113,43,21,142,78,119,548,42,263,280,*,*,95,*,*
2020-05-01,105,37,24,139,88,119,538,34,258,310,*,*,86,*,*
2020-05-02,103,36,23,130,95,125,530,36,247,258,*,*,86,*,*
