Date,Ayrshire and Arran,Borders,Dumfries and Galloway,Fife,Forth Valley,Grampian,Greater Glasgow and Clyde,Highland,Lanarkshire,Lothian,Orkney,Shetland,Tayside,Western Isles,The Golden Jubilee National Hospital
2020-03-26,*,*,*,*,*,*,12,*,*,12,*,*,5,*,*
2020-03-27,*,*,*,*,*,*,18,*,8,13,*,*,6,*,*
2020-03-28,7,*,*,5,*,*,24,*,8,15,*,*,7,*,*
2020-03-29,7,*,*,5,*,*,23,*,14,23,*,*,7,*,*
2020-03-30,9,*,*,5,*,*,22,*,13,27,*,*,9,*,*
2020-03-31,10,5,*,6,*,5,34,*,18,27,*,*,10,*,*
2020-04-01,11,5,*,10,*,*,36,*,21,31,*,*,10,*,*
2020-04-02,11,5,*,10,*,5,38,*,24,30,*,*,11,*,*
2020-04-03,14,6,*,11,*,5,45,*,26,34,*,*,14,*,*
2020-04-04,14,6,5,11,*,5,51,5,29,38,*,*,17,*,*
2020-04-05,13,7,*,9,*,6,54,5,29,39,*,*,13,*,*
2020-04-06,16,6,*,9,*,10,51,5,31,38,*,*,15,*,*
2020-04-07,14,7,*,9,6,11,54,6,28,36,*,*,11,*,*
2020-04-08,16,7,*,9,7,11,62,6,27,37,*,*,7,*,*
2020-04-09,15,6,6,9,7,13,64,6,31,36,*,*,7,*,*
2020-04-10,14,6,5,9,7,12,65,7,26,37,*,*,8,*,*
2020-04-11,13,6,6,10,7,13,69,7,27,34,*,*,8,*,*
2020-04-12,13,6,7,9,7,13,74,7,28,34,*,*,8,*,*
2020-04-13,13,6,7,6,7,12,74,6,29,33,*,*,8,*,*
2020-04-14,13,6,6,5,5,13,73,*,26,30,*,*,8,*,*
2020-04-15,13,6,6,5,5,15,71,5,28,28,*,*,6,*,*
2020-04-16,13,6,6,6,5,14,70,6,28,28,*,*,6,*,*
2020-04-17,11,6,5,6,5,14,67,6,29,27,*,*,5,*,*
2020-04-18,11,6,5,6,*,15,65,6,27,28,*,*,7,*,*
2020-04-19,10,6,5,5,*,13,62,6,26,29,*,*,6,*,*
2020-04-20,10,7,5,5,*,9,64,5,24,27,*,*,8,*,*
2020-04-21,9,8,5,5,*,9,60,5,22,27,*,*,7,*,*
2020-04-22,8,7,*,5,*,7,55,*,20,28,*,*,7,*,*
2020-04-23,8,*,*,6,*,8,49,*,17,24,*,*,6,*,*
2020-04-24,7,*,*,6,*,9,50,*,17,22,*,*,6,*,*
2020-04-25,7,*,*,6,*,8,49,*,16,22,*,*,5,*,*
2020-04-26,7,*,*,6,*,9,49,*,14,21,*,*,*,*,*
2020-04-27,6,*,*,6,*,9,47,*,12,21,*,*,*,*,*
2020-04-28,*,*,*,6,*,9,48,*,10,19,*,*,*,*,*
2020-04-29,5,*,*,6,*,10,42,*,7,15,*,*,*,*,*
2020-04-30,5,*,*,6,*,10,43,*,5,15,*,*,*,*,*
2020-05-01,5,*,*,6,*,10,44,*,6,14,*,*,*,*,*
2020-05-02,6,*,*,6,*,10,42,*,6,13,*,*,*,*,*
2020-05-03,7,*,*,6,*,10,39,*,*,12,*,*,*,*,*
2020-05-04,5,*,*,6,*,11,39,*,6,13,*,*,*,*,*
2020-05-05,6,*,*,5,*,13,32,*,8,13,*,*,*,*,*
2020-05-06,6,*,*,*,*,10,30,*,*,13,*,*,*,*,*
2020-05-07,6,*,*,*,*,10,32,*,5,12,*,*,*,*,*
2020-05-08,6,*,*,*,*,10,31,*,*,11,*,*,*,*,*
2020-05-09,6,*,*,*,*,10,30,*,6,11,*,*,*,*,*
2020-05-10,6,*,*,*,*,10,29,*,7,10,*,*,*,*,*
2020-05-11,7,*,*,*,*,10,28,*,7,8,*,*,*,*,*
2020-05-12,7,*,*,*,*,10,29,*,6,6,*,*,*,*,*
2020-05-13,7,*,*,*,*,9,27,*,6,6,*,*,*,*,*
2020-05-14,5,*,*,*,*,9,26,*,6,6,*,*,*,*,*
2020-05-15,*,*,*,*,*,7,22,*,6,6,*,*,*,*,*
2020-05-16,*,*,*,*,*,5,21,*,5,7,*,*,*,*,*
2020-05-17,*,*,*,*,*,5,20,*,5,6,*,*,*,*,*
2020-05-18,*,*,*,*,*,*,20,*,6,6,*,*,*,*,*
2020-05-19,*,*,*,*,*,6,20,*,5,5,*,*,*,*,*
2020-05-20,*,*,*,*,*,5,18,*,5,6,*,*,*,*,*
2020-05-21,*,*,*,*,*,5,16,*,*,8,*,*,*,*,*
2020-05-22,*,*,*,*,*,5,14,*,*,6,*,*,*,*,*
2020-05-23,*,*,*,*,*,*,13,*,*,6,*,*,*,*,*
2020-05-24,*,*,*,*,*,*,12,*,*,*,*,*,*,*,*
2020-05-25,*,*,*,*,*,*,12,*,*,*,*,*,*,*,*
2020-05-26,*,*,*,*,*,*,11,*,*,*,*,*,*,*,*
2020-05-27,*,*,*,*,*,*,9,*,*,5,*,*,*,*,*
2020-05-28,*,*,*,*,*,*,9,*,*,*,*,*,*,*,*
2020-05-29,*,*,*,*,*,*,9,*,*,*,*,*,*,*,*
2020-05-30,*,*,*,*,*,*,9,*,*,5,*,*,*,*,*
2020-05-31,*,*,*,*,*,*,7,*,*,*,*,*,*,*,*
2020-06-01,*,*,*,*,*,*,7,*,*,*,*,*,*,*,*
2020-06-02,*,*,*,*,*,*,7,*,*,*,*,*,*,*,*
2020-06-03,*,*,*,*,*,*,6,*,*,*,*,*,*,*,*
2020-06-04,*,*,*,*,*,*,5,*,*,*,*,*,*,*,*
2020-06-05,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-06-06,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-06-07,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-06-08,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-06-09,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-06-10,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-06-11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-06-12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-06-13,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-06-14,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-06-15,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-06-16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-06-17,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-06-18,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-06-19,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-06-20,*,*,*,*,*,*,*,*,*,5,*,*,*,*,*
2020-06-21,*,*,*,*,*,*,*,*,*,5,*,*,*,*,*
2020-06-22,*,*,*,*,*,*,*,*,*,5,*,*,*,*,*
2020-06-23,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-06-24,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-06-25,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-06-26,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-06-27,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-06-28,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-06-29,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-06-30,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-07-01,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-07-02,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-07-03,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-07-04,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-07-05,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-07-06,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-07-07,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-07-08,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-07-09,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-07-10,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-07-11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-07-12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-07-13,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-07-14,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-07-15,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-07-16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-07-17,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-07-18,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-07-19,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-07-20,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-07-21,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-07-22,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-07-23,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-07-24,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-07-25,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-07-26,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-07-27,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-07-28,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-07-29,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-07-30,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-07-31,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-08-01,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-08-02,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-08-03,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-08-04,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-08-05,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-08-06,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-08-07,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-08-08,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-08-09,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-08-10,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-08-11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-08-12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-08-13,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-08-14,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-08-15,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-08-16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-08-17,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-08-18,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-08-19,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-08-20,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-08-21,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
