Date,Ayrshire and Arran,Borders,Dumfries and Galloway,Fife,Forth Valley,Grampian,Greater Glasgow and Clyde,Highland,Lanarkshire,Lothian,Orkney,Shetland,Tayside,Western Isles,The Golden Jubilee National Hospital
2020-09-11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-09-12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-09-13,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-09-14,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-09-15,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-09-16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-09-17,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-09-18,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-09-19,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-09-20,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-09-21,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-09-22,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-09-23,*,*,*,*,*,*,5,*,*,*,*,*,*,*,*
2020-09-24,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-09-25,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-09-26,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-09-27,*,*,*,*,*,*,5,*,*,*,*,*,*,*,*
2020-09-28,*,*,*,*,*,*,5,*,6,*,*,*,*,*,*
2020-09-29,*,*,*,*,*,*,5,*,*,*,*,*,*,*,*
2020-09-30,*,*,*,*,*,*,5,*,*,*,*,*,*,*,*
2020-10-01,*,*,*,*,*,*,5,*,5,*,*,*,*,*,*
