Date,Calls - NHS24 111,Calls - Coronavirus helpline
2020-03-17T00:00:00Z,6977,6772
2020-03-18T00:00:00Z,5568,4930
2020-03-19T00:00:00Z,4774,3271
2020-03-20T00:00:00Z,4789,2693
2020-03-21T00:00:00Z,11620,1304
2020-03-22T00:00:00Z,10824,1824
2020-03-23T00:00:00Z,11904,6895
2020-03-24T00:00:00Z,8573,3959
2020-03-25T00:00:00Z,8520,3030
2020-03-26T00:00:00Z,7803,2490
2020-03-27T00:00:00Z,7401,2015
2020-03-28T00:00:00Z,9001,925
2020-03-29T00:00:00Z,7534,861
2020-03-30T00:00:00Z,7018,2469
2020-03-31T00:00:00Z,5343,1415
2020-04-01T00:00:00Z,5333,1255
2020-04-02T00:00:00Z,4609,1233
2020-04-03T00:00:00Z,4534,1146
2020-04-04T00:00:00Z,7682,538
2020-04-05T00:00:00Z,6865,464
2020-04-06T00:00:00Z,5310,1246
2020-04-07T00:00:00Z,4428,984
2020-04-08T00:00:00Z,4215,907
2020-04-09T00:00:00Z,4057,791
2020-04-10T00:00:00Z,3927,595
2020-04-11T00:00:00Z,7743,286
2020-04-12T00:00:00Z,7040,271
2020-04-13T00:00:00Z,3602,506
2020-04-14T00:00:00Z,3826,679
2020-04-15T00:00:00Z,3400,626
2020-04-16T00:00:00Z,3413,581
2020-04-17T00:00:00Z,3499,499
2020-04-18T00:00:00Z,7415,193
2020-04-19T00:00:00Z,6616,152
2020-04-20T00:00:00Z,3555,520
2020-04-21T00:00:00Z,3005,380
2020-04-22T00:00:00Z,3061,420
2020-04-23T00:00:00Z,3009,364
2020-04-24T00:00:00Z,3206,385
2020-04-25T00:00:00Z,7368,158
2020-04-26T00:00:00Z,6729,140
2020-04-27T00:00:00Z,3460,495
2020-04-28T00:00:00Z,3288,440
2020-04-29T00:00:00Z,3415,518
2020-04-30T00:00:00Z,3333,490
2020-05-01T00:00:00Z,3264,434
2020-05-02T00:00:00Z,7791,196
2020-05-03T00:00:00Z,7103,207
2020-05-04T00:00:00Z,3534,554
2020-05-05T00:00:00Z,3159,347
2020-05-06T00:00:00Z,2940,304
2020-05-07T00:00:00Z,2944,304
2020-05-08T00:00:00Z,3085,273
2020-05-09T00:00:00Z,7605,141
2020-05-10T00:00:00Z,6532,135
2020-05-11T00:00:00Z,3084,349
2020-05-12T00:00:00Z,2883,293
2020-05-13T00:00:00Z,2767,302
2020-05-14T00:00:00Z,2763,265
2020-05-15T00:00:00Z,2845,247
2020-05-16T00:00:00Z,7433,110
2020-05-17T00:00:00Z,6524,111
2020-05-18T00:00:00Z,3463,359
2020-05-19T00:00:00Z,3196,248
2020-05-20T00:00:00Z,2912,219
2020-05-21T00:00:00Z,2925,274
2020-05-22T00:00:00Z,3055,232
2020-05-23T00:00:00Z,7122,89
2020-05-24T00:00:00Z,6862,106
2020-05-25T00:00:00Z,3168,214
2020-05-26T00:00:00Z,2876,248
2020-05-27T00:00:00Z,2637,264
2020-05-28T00:00:00Z,2615,414
2020-05-29T00:00:00Z,2747,447
2020-05-30T00:00:00Z,7063,197
2020-05-31T00:00:00Z,6531,194
2020-06-01T00:00:00Z,3011,476
2020-06-02T00:00:00Z,2651,393
2020-06-03T00:00:00Z,2801,441
2020-06-04T00:00:00Z,2722,390
2020-06-05T00:00:00Z,2834,472
2020-06-06T00:00:00Z,7437,273
2020-06-07T00:00:00Z,6555,148
2020-06-08T00:00:00Z,2976,490
2020-06-09T00:00:00Z,2681,434
2020-06-10T00:00:00Z,2449,466
2020-06-11T00:00:00Z,2589,391
2020-06-12T00:00:00Z,2688,375
2020-06-13T00:00:00Z,7036,177
2020-06-14T00:00:00Z,6551,167
2020-06-15T00:00:00Z,2971,433
2020-06-16T00:00:00Z,2771,369
2020-06-17T00:00:00Z,2696,370
2020-06-18T00:00:00Z,2536,328
2020-06-19T00:00:00Z,2748,366
2020-06-20T00:00:00Z,6896,170
2020-06-21T00:00:00Z,6473,150
2020-06-22T00:00:00Z,2890,562
2020-06-23T00:00:00Z,2578,626
2020-06-24T00:00:00Z,2730,610
2020-06-25T00:00:00Z,2661,431
2020-06-26T00:00:00Z,2899,410
2020-06-27T00:00:00Z,7675,218
2020-06-28T00:00:00Z,6590,206
2020-06-29T00:00:00Z,2832,515
2020-06-30T00:00:00Z,2594,396
2020-07-01T00:00:00Z,2573,383
2020-07-02T00:00:00Z,2518,401
2020-07-03T00:00:00Z,2686,437
2020-07-04T00:00:00Z,6894,191
2020-07-05T00:00:00Z,6445,164
2020-07-06T00:00:00Z,2857,438
2020-07-07T00:00:00Z,2491,402
2020-07-08T00:00:00Z,2432,389
2020-07-09T00:00:00Z,2464,433
2020-07-10T00:00:00Z,2583,365
2020-07-11T00:00:00Z,6574,170
2020-07-12T00:00:00Z,6147,133
2020-07-13T00:00:00Z,3492,436
2020-07-14T00:00:00Z,2543,361
2020-07-15T00:00:00Z,2507,410
2020-07-16T00:00:00Z,2572,394
2020-07-17T00:00:00Z,2668,322
2020-07-18T00:00:00Z,6868,197
2020-07-19T00:00:00Z,6540,229
2020-07-20T00:00:00Z,4948,426
