Date,Care homes - Adult care homes - Number of homes with suspected cases,Care homes - Adult care homes - Proportion of homes with suspected cases
2020-07-01T00:00:00Z,135,0.13
2020-07-08T00:00:00Z,113,0.1
2020-07-15T00:00:00Z,97,0.09
2020-07-22T00:00:00Z,81,0.08
2020-07-29T00:00:00Z,66,0.06
2020-08-05T00:00:00Z,60,0.06
2020-08-12T00:00:00Z,53,0.05
2020-08-19T00:00:00Z,52,0.05
2020-08-26T00:00:00Z,66,0.06
2020-09-02T00:00:00Z,69,0.06
2020-09-09T00:00:00Z,78,0.07
2020-09-16T00:00:00Z,91,0.08
2020-09-23T00:00:00Z,95,0.09
2020-09-30T00:00:00Z,92,0.09
2020-10-07T00:00:00Z,91,0.08
2020-10-14T00:00:00Z,101,0.09
2020-10-21T00:00:00Z,114,0.11
2020-10-28T00:00:00Z,134,0.12
2020-11-04T00:00:00Z,137,0.13
2020-11-11T00:00:00Z,146,0.14
2020-11-18T00:00:00Z,141,0.13
2020-11-25T00:00:00Z,129,0.12
2020-12-02T00:00:00Z,128,0.12
2020-12-09T00:00:00Z,117,0.11
2020-12-16T00:00:00Z,140,0.13
2020-12-23T00:00:00Z,138,0.13
2020-12-29T00:00:00Z,149,0.14
2021-01-05T00:00:00Z,154,0.14
2021-01-13T00:00:00Z,180,0.17
2021-01-20T00:00:00Z,172,0.16
2021-01-27T00:00:00Z,181,0.17
2021-02-03T00:00:00Z,140,0.13
2021-02-10T00:00:00Z,116,0.11
2021-02-17T00:00:00Z,88,0.08
2021-02-24T00:00:00Z,73,0.07
2021-03-03T00:00:00Z,61,0.06
2021-03-10T00:00:00Z,44,0.04
2021-03-17T00:00:00Z,31,0.03
