Date,Number of COVID-19 confirmed deaths registered to date
2020-03-14T00:00:00Z,1
2020-03-15T00:00:00Z,1
2020-03-16T00:00:00Z,1
2020-03-17T00:00:00Z,2
2020-03-18T00:00:00Z,3
2020-03-19T00:00:00Z,6
2020-03-20T00:00:00Z,6
2020-03-21T00:00:00Z,7
2020-03-22T00:00:00Z,10
2020-03-23T00:00:00Z,14
2020-03-24T00:00:00Z,16
2020-03-25T00:00:00Z,22
2020-03-26T00:00:00Z,25
2020-03-27T00:00:00Z,33
2020-03-28T00:00:00Z,40
2020-03-29T00:00:00Z,41
2020-03-30T00:00:00Z,47
2020-03-31T00:00:00Z,69
2020-04-01T00:00:00Z,97
2020-04-02T00:00:00Z,126
2020-04-03T00:00:00Z,172
2020-04-04T00:00:00Z,218
2020-04-05T00:00:00Z,220
2020-04-06T00:00:00Z,222
2020-04-07T00:00:00Z,296
2020-04-08T00:00:00Z,366
2020-04-09T00:00:00Z,447
2020-04-10T00:00:00Z,495
2020-04-11T00:00:00Z,542
2020-04-12T00:00:00Z,566
2020-04-13T00:00:00Z,575
2020-04-14T00:00:00Z,615
2020-04-15T00:00:00Z,699
2020-04-16T00:00:00Z,779
2020-04-17T00:00:00Z,837
2020-04-18T00:00:00Z,893
2020-04-19T00:00:00Z,903
2020-04-20T00:00:00Z,915
2020-04-21T00:00:00Z,985
2020-04-22T00:00:00Z,1062
2020-04-23T00:00:00Z,1120
2020-04-24T00:00:00Z,1184
2020-04-25T00:00:00Z,1231
2020-04-26T00:00:00Z,1249
2020-04-27T00:00:00Z,1262
2020-04-28T00:00:00Z,1332
2020-04-29T00:00:00Z,1415
2020-04-30T00:00:00Z,1475
2020-05-01T00:00:00Z,1515
2020-05-02T00:00:00Z,1559
2020-05-03T00:00:00Z,1571
2020-05-04T00:00:00Z,1576
2020-05-05T00:00:00Z,1620
2020-05-06T00:00:00Z,1703
2020-05-07T00:00:00Z,1762
2020-05-08T00:00:00Z,1811
2020-05-09T00:00:00Z,1847
2020-05-10T00:00:00Z,1857
2020-05-11T00:00:00Z,1862
2020-05-12T00:00:00Z,1912
2020-05-13T00:00:00Z,1973
2020-05-14T00:00:00Z,2007
2020-05-15T00:00:00Z,2053
2020-05-16T00:00:00Z,2094
2020-05-17T00:00:00Z,2103
2020-05-18T00:00:00Z,2105
2020-05-19T00:00:00Z,2134
2020-05-20T00:00:00Z,2184
2020-05-21T00:00:00Z,2221
2020-05-22T00:00:00Z,2245
2020-05-23T00:00:00Z,2261
2020-05-24T00:00:00Z,2270
2020-05-25T00:00:00Z,2273
2020-05-26T00:00:00Z,2291
2020-05-27T00:00:00Z,2304
2020-05-28T00:00:00Z,2316
2020-05-29T00:00:00Z,2331
2020-05-30T00:00:00Z,2353
2020-05-31T00:00:00Z,2362
2020-06-01T00:00:00Z,2363
2020-06-02T00:00:00Z,2375
2020-06-03T00:00:00Z,2386
2020-06-04T00:00:00Z,2395
2020-06-05T00:00:00Z,2409
2020-06-06T00:00:00Z,2415
2020-06-07T00:00:00Z,2415
2020-06-08T00:00:00Z,2415
2020-06-09T00:00:00Z,2422
2020-06-10T00:00:00Z,2434
2020-06-11T00:00:00Z,2439
2020-06-12T00:00:00Z,2442
2020-06-13T00:00:00Z,2447
2020-06-14T00:00:00Z,2448
2020-06-15T00:00:00Z,2448
2020-06-16T00:00:00Z,2453
2020-06-17T00:00:00Z,2462
2020-06-18T00:00:00Z,2464
2020-06-19T00:00:00Z,2470
2020-06-20T00:00:00Z,2472
2020-06-21T00:00:00Z,2472
2020-06-22T00:00:00Z,2472
2020-06-23T00:00:00Z,2476
2020-06-24T00:00:00Z,2480
2020-06-25T00:00:00Z,2482
2020-06-26T00:00:00Z,2482
2020-06-27T00:00:00Z,2482
2020-06-28T00:00:00Z,2482
2020-06-29T00:00:00Z,2482
2020-06-30T00:00:00Z,2485
2020-07-01T00:00:00Z,2486
2020-07-02T00:00:00Z,2487
2020-07-03T00:00:00Z,2488
2020-07-04T00:00:00Z,2488
2020-07-05T00:00:00Z,2488
2020-07-06T00:00:00Z,2488
2020-07-07T00:00:00Z,2489
2020-07-08T00:00:00Z,2490
2020-07-09T00:00:00Z,2490
2020-07-10T00:00:00Z,2490
2020-07-11T00:00:00Z,2490
2020-07-12T00:00:00Z,2490
2020-07-13T00:00:00Z,2490
2020-07-14T00:00:00Z,2490
2020-07-15T00:00:00Z,2490
2020-07-16T00:00:00Z,2491
2020-07-17T00:00:00Z,2491
2020-07-18T00:00:00Z,2491
2020-07-19T00:00:00Z,2491
2020-07-20T00:00:00Z,2491
2020-07-21T00:00:00Z,2491
2020-07-22T00:00:00Z,2491
2020-07-23T00:00:00Z,2491
2020-07-24T00:00:00Z,2491
2020-07-25T00:00:00Z,2491
2020-07-26T00:00:00Z,2491
2020-07-27T00:00:00Z,2491
2020-07-28T00:00:00Z,2491
2020-07-29T00:00:00Z,2491
2020-07-30T00:00:00Z,2491
2020-07-31T00:00:00Z,2491
2020-08-01T00:00:00Z,2491
2020-08-02T00:00:00Z,2491
2020-08-03T00:00:00Z,2491
2020-08-04T00:00:00Z,2491
2020-08-05T00:00:00Z,2491
2020-08-06T00:00:00Z,2491
2020-08-07T00:00:00Z,2491
2020-08-08T00:00:00Z,2491
2020-08-09T00:00:00Z,2491
2020-08-10T00:00:00Z,2491
2020-08-11T00:00:00Z,2491
2020-08-12T00:00:00Z,2491
2020-08-13T00:00:00Z,2491
2020-08-14T00:00:00Z,2491
2020-08-15T00:00:00Z,2491
2020-08-16T00:00:00Z,2491
2020-08-17T00:00:00Z,2491
2020-08-18T00:00:00Z,2491
2020-08-19T00:00:00Z,2492
2020-08-20T00:00:00Z,2492
2020-08-21T00:00:00Z,2492
2020-08-22T00:00:00Z,2492
2020-08-23T00:00:00Z,2492
2020-08-24T00:00:00Z,2492
2020-08-25T00:00:00Z,2492
2020-08-26T00:00:00Z,2494
