Date,Adult care homes - Number of staff reported as absent,Adult care homes - Adult care homes which submitted a return,Adult care homes - Response rate,Adult care homes - Total number of staff in adult care homes which submitted a return,Adult care homes - Staff absence rate
2020-04-21T00:00:00Z,3732,708,65,37213,10.028753392631607
2020-04-28T00:00:00Z,4163,862,79,45068,9.237152746960149
2020-05-05T00:00:00Z,3672,822,76,43403,8.46024468354722
2020-05-12T00:00:00Z,3121,813,75,42626,7.3218223619387235
2020-05-19T00:00:00Z,3381,879,81,46272,7.306794605809129
2020-05-26T00:00:00Z,3049,880,81,46237,6.6000000000000005
2020-06-02T00:00:00Z,2668,824,76,43864,6.1
2020-06-09T00:00:00Z,2315,858,79,45816,5.1
2020-06-16T00:00:00Z,2453,877,81,45912,5.3
2020-06-23T00:00:00Z,1801,688,64,36257,5
2020-06-30T00:00:00Z,1976,821,76,43025,4.6
2020-07-07T00:00:00Z,1764,807,75,41680,4.2
2020-07-14T00:00:00Z,1708,772,71,40038,4.3
2020-07-21T00:00:00Z,1666,790,73,40858,4.1000000000000005
2020-07-28T00:00:00Z,1523,768,71,40005,3.8
2020-08-04T00:00:00Z,815,799,74,41702,2
2020-08-11T00:00:00Z,613,829,77,43887,1.4000000000000001
2020-08-18T00:00:00Z,506,818,76,42682,1.2
2020-08-25T00:00:00Z,554,775,72,40323,1.4000000000000001
2020-09-01T00:00:00Z,496,796,74,42316,1.2
2020-09-08T00:00:00Z,548,825,76,43053,1.3
2020-09-15T00:00:00Z,496,806,75,42935,1.2
2020-09-22T00:00:00Z,504,792,73,41727,1.2
2020-09-29T00:00:00Z,511,810,75,42474,1.2
2020-10-06T00:00:00Z,610,794,74,41454,1.5
2020-10-13T00:00:00Z,795,768,71,40635,2
2020-10-20T00:00:00Z,952,801,74,41950,2.3
2020-10-27T00:00:00Z,1062,789,73,40996,2.6
2020-11-03T00:00:00Z,957,817,76,42985,2.1999999999999997
2020-11-10T00:00:00Z,1004,808,75,41234,2.4
2020-11-17T00:00:00Z,1004,803,75,42319,2.4
2020-11-24T00:00:00Z,805,809,75,42704,1.9
2020-12-01T00:00:00Z,813,819,76,42687,1.9
2020-12-08T00:00:00Z,774,774,72,40403,1.9
2020-12-15T00:00:00Z,780,705,66,35954,2.1999999999999997
2020-12-22T00:00:00Z,576,670,62,34066,1.7000000000000002
2021-01-05T00:00:00Z,1311,709,66,36734,3.5999999999999996
2021-01-12T00:00:00Z,1594,726,68,37654,4.2
2021-01-19T00:00:00Z,1592,743,69,38660,4.1000000000000005
2021-01-26T00:00:00Z,1423,728,68,38017,3.6999999999999997
2021-02-02T00:00:00Z,1175,717,67,37506,3.1
2021-02-09T00:00:00Z,1031,711,66,35981,2.9000000000000004
2021-02-16T00:00:00Z,997,724,67,37831,2.6
2021-02-23T00:00:00Z,1040,746,69,37452,2.8000000000000003
2021-03-02T00:00:00Z,947,723,67,38011,2.5
2021-03-09T00:00:00Z,919,747,70,38384,2.4
2021-03-16T00:00:00Z,836,730,68,36869,2.3
