Date,COVID-19 patients in ICU - Confirmed - Length of stay 28 days or less,COVID-19 patients in hospital - Confirmed - Length of stay 28 days or less,COVID-19 patients in ICU - Confirmed - Length of stay more than 28 days
2020-09-11T00:00:00Z,6,45,NA
2020-09-12T00:00:00Z,7,42,NA
2020-09-13T00:00:00Z,6,45,NA
2020-09-14T00:00:00Z,6,51,NA
2020-09-15T00:00:00Z,6,48,NA
2020-09-16T00:00:00Z,6,51,NA
2020-09-17T00:00:00Z,5,52,NA
2020-09-18T00:00:00Z,5,61,NA
2020-09-19T00:00:00Z,9,64,NA
2020-09-20T00:00:00Z,9,63,NA
2020-09-21T00:00:00Z,8,73,NA
2020-09-22T00:00:00Z,10,73,NA
2020-09-23T00:00:00Z,10,83,NA
2020-09-24T00:00:00Z,10,85,NA
2020-09-25T00:00:00Z,11,89,NA
2020-09-26T00:00:00Z,11,99,NA
2020-09-27T00:00:00Z,12,105,NA
2020-09-28T00:00:00Z,16,122,NA
2020-09-29T00:00:00Z,16,123,NA
2020-09-30T00:00:00Z,15,137,NA
2020-10-01T00:00:00Z,17,154,NA
2020-10-02T00:00:00Z,19,175,NA
2020-10-03T00:00:00Z,23,191,NA
2020-10-04T00:00:00Z,22,210,NA
2020-10-05T00:00:00Z,22,218,NA
2020-10-06T00:00:00Z,25,262,NA
2020-10-07T00:00:00Z,28,319,NA
2020-10-08T00:00:00Z,31,377,NA
2020-10-09T00:00:00Z,31,397,NA
2020-10-10T00:00:00Z,34,432,NA
2020-10-11T00:00:00Z,35,449,NA
2020-10-12T00:00:00Z,36,487,NA
2020-10-13T00:00:00Z,35,527,NA
2020-10-14T00:00:00Z,49,570,NA
2020-10-15T00:00:00Z,52,601,NA
2020-10-16T00:00:00Z,58,627,NA
2020-10-17T00:00:00Z,62,672,NA
2020-10-18T00:00:00Z,63,712,NA
2020-10-19T00:00:00Z,61,755,NA
2020-10-20T00:00:00Z,70,824,NA
2020-10-21T00:00:00Z,73,873,NA
2020-10-22T00:00:00Z,74,934,NA
2020-10-23T00:00:00Z,76,975,NA
2020-10-24T00:00:00Z,84,985,NA
2020-10-25T00:00:00Z,86,1016,NA
2020-10-26T00:00:00Z,90,1052,NA
2020-10-27T00:00:00Z,82,1100,NA
2020-10-28T00:00:00Z,85,1117,NA
2020-10-29T00:00:00Z,86,1152,NA
2020-10-30T00:00:00Z,83,1171,NA
2020-10-31T00:00:00Z,80,1154,NA
2020-11-01T00:00:00Z,81,1203,NA
2020-11-02T00:00:00Z,93,1235,NA
2020-11-03T00:00:00Z,92,1264,NA
2020-11-04T00:00:00Z,94,1257,NA
2020-11-05T00:00:00Z,95,1252,NA
2020-11-06T00:00:00Z,98,1237,NA
2020-11-07T00:00:00Z,105,1245,NA
2020-11-08T00:00:00Z,111,1245,NA
2020-11-09T00:00:00Z,105,1227,NA
2020-11-10T00:00:00Z,102,1239,NA
2020-11-11T00:00:00Z,93,1235,NA
2020-11-12T00:00:00Z,98,1207,NA
2020-11-13T00:00:00Z,96,1228,NA
2020-11-14T00:00:00Z,92,1198,NA
2020-11-15T00:00:00Z,100,1241,NA
2020-11-16T00:00:00Z,98,1227,NA
2020-11-17T00:00:00Z,95,1250,NA
2020-11-18T00:00:00Z,88,1241,NA
2020-11-19T00:00:00Z,85,1212,NA
2020-11-20T00:00:00Z,89,1234,NA
2020-11-21T00:00:00Z,100,1194,NA
2020-11-22T00:00:00Z,95,1170,NA
2020-11-23T00:00:00Z,84,1208,NA
2020-11-24T00:00:00Z,84,1197,NA
2020-11-25T00:00:00Z,84,1156,NA
2020-11-26T00:00:00Z,90,1125,NA
2020-11-27T00:00:00Z,80,1099,NA
2020-11-28T00:00:00Z,77,1074,NA
2020-11-29T00:00:00Z,76,1049,NA
2020-11-30T00:00:00Z,75,1041,NA
2020-12-01T00:00:00Z,70,1021,NA
2020-12-02T00:00:00Z,68,991,NA
2020-12-03T00:00:00Z,69,982,NA
2020-12-04T00:00:00Z,65,965,NA
2020-12-05T00:00:00Z,64,945,NA
2020-12-06T00:00:00Z,62,951,NA
2020-12-07T00:00:00Z,59,974,NA
2020-12-08T00:00:00Z,57,983,NA
2020-12-09T00:00:00Z,50,972,NA
2020-12-10T00:00:00Z,52,984,NA
2020-12-11T00:00:00Z,53,999,NA
2020-12-12T00:00:00Z,52,994,NA
2020-12-13T00:00:00Z,47,1015,NA
2020-12-14T00:00:00Z,46,1012,NA
2020-12-15T00:00:00Z,45,996,NA
2020-12-16T00:00:00Z,49,1031,NA
2020-12-17T00:00:00Z,50,1012,NA
2020-12-18T00:00:00Z,50,1032,NA
2020-12-19T00:00:00Z,53,1033,NA
2020-12-20T00:00:00Z,58,1061,NA
2020-12-21T00:00:00Z,59,1078,NA
2020-12-22T00:00:00Z,60,1045,NA
2020-12-23T00:00:00Z,56,1025,NA
2020-12-24T00:00:00Z,56,1008,NA
2020-12-25T00:00:00Z,47,973,NA
2020-12-26T00:00:00Z,52,985,NA
2020-12-27T00:00:00Z,54,993,NA
2020-12-28T00:00:00Z,56,1040,NA
2020-12-29T00:00:00Z,65,1092,NA
2020-12-30T00:00:00Z,69,1133,NA
2020-12-31T00:00:00Z,70,1174,NA
2021-01-01T00:00:00Z,73,1189,NA
2021-01-02T00:00:00Z,78,1212,NA
2021-01-03T00:00:00Z,81,1246,NA
2021-01-04T00:00:00Z,83,1282,NA
