Date,Vaccinations - Number of people who have received first dose,Vaccinations - Number of people who have received second dose
2021-01-11T00:00:00Z,163377,2758
2021-01-12T00:00:00Z,175942,2857
2021-01-13T00:00:00Z,191965,2990
2021-01-14T00:00:00Z,208207,3190
2021-01-15T00:00:00Z,224840,3331
2021-01-16T00:00:00Z,241924,3512
2021-01-17T00:00:00Z,260140,3657
2021-01-18T00:00:00Z,264991,3698
2021-01-19T00:00:00Z,284582,3886
2021-01-20T00:00:00Z,309909,4170
2021-01-21T00:00:00Z,334871,4466
2021-01-22T00:00:00Z,358454,4689
2021-01-23T00:00:00Z,380667,5188
2021-01-24T00:00:00Z,404038,5383
2021-01-25T00:00:00Z,415402,5538
2021-01-26T00:00:00Z,437900,6060
2021-01-27T00:00:00Z,462092,6596
2021-01-28T00:00:00Z,491658,6783
2021-01-29T00:00:00Z,515855,7095
2021-01-30T00:00:00Z,543370,7638
2021-01-31T00:00:00Z,566269,7794
2021-02-01T00:00:00Z,575897,7849
2021-02-02T00:00:00Z,610778,8345
2021-02-03T00:00:00Z,649262,8758
2021-02-04T00:00:00Z,694347,9031
2021-02-05T00:00:00Z,742512,9529
2021-02-06T00:00:00Z,786427,10332
2021-02-07T00:00:00Z,839266,10582
2021-02-08T00:00:00Z,866823,10690
2021-02-09T00:00:00Z,928122,12257
2021-02-10T00:00:00Z,985569,12866
2021-02-11T00:00:00Z,1048747,13195
2021-02-12T00:00:00Z,1113625,13566
2021-02-13T00:00:00Z,1173445,14009
2021-02-14T00:00:00Z,1223774,14281
2021-02-15T00:00:00Z,1255190,14501
2021-02-16T00:00:00Z,1288004,17137
2021-02-17T00:00:00Z,1320074,20409
2021-02-18T00:00:00Z,1354966,24169
2021-02-19T00:00:00Z,1386152,29015
2021-02-20T00:00:00Z,1412643,33473
2021-02-21T00:00:00Z,1431942,35479
2021-02-22T00:00:00Z,1445488,37342
2021-02-23T00:00:00Z,1465241,43203
2021-02-24T00:00:00Z,1488077,50121
2021-02-25T00:00:00Z,1515980,56661
2021-02-26T00:00:00Z,1542929,65340
2021-02-27T00:00:00Z,1570153,72178
2021-02-28T00:00:00Z,1593695,76512
2021-03-01T00:00:00Z,1611578,78865
2021-03-02T00:00:00Z,1634361,84445
2021-03-03T00:00:00Z,1661879,92550
2021-03-04T00:00:00Z,1688608,100058
2021-03-05T00:00:00Z,1717672,108197
2021-03-06T00:00:00Z,1743869,114081
2021-03-07T00:00:00Z,1759750,115930
2021-03-08T00:00:00Z,1774659,118732
2021-03-09T00:00:00Z,1789377,123686
2021-03-10T00:00:00Z,1809158,132760
2021-03-11T00:00:00Z,1825800,141433
2021-03-12T00:00:00Z,1844636,149409
2021-03-13T00:00:00Z,1867123,156250
2021-03-14T00:00:00Z,1888697,160038
2021-03-15T00:00:00Z,1908991,161945
2021-03-16T00:00:00Z,1943507,170892
2021-03-17T00:00:00Z,1981818,181879
2021-03-18T00:00:00Z,2023002,192100
2021-03-19T00:00:00Z,2066460,201435
2021-03-20T00:00:00Z,2110780,211272
2021-03-21T00:00:00Z,2144940,220188
2021-03-22T00:00:00Z,2182400,225096
2021-03-23T00:00:00Z,2214672,235671
2021-03-24T00:00:00Z,2249612,249252
2021-03-25T00:00:00Z,2285711,263236
2021-03-26T00:00:00Z,2322832,279814
2021-03-27T00:00:00Z,2358807,294714
2021-03-28T00:00:00Z,2385709,312320
2021-03-29T00:00:00Z,2409826,326263
2021-03-30T00:00:00Z,2436398,338443
2021-03-31T00:00:00Z,2463069,354756
