Date,Schools - Number of pupils absent due to COVID-19 related reasons,Schools - Percentage attendance,"Schools - Percentage absence - Percentage of openings where pupils were not in school - Not related to COVID-19 (authorised and unauthorised, including exclusions)",Schools - Percentage absence - Percentage of openings where pupils were not in school - Related to COVID-19
2021-08-19,7435,95.01431298,3.9636977300000003,1.02106357
2021-08-20,8397,94.08860081,4.72773209,1.1830958800000002
2021-08-23,13153,92.88168358,5.31412795,1.8031919900000002
2021-08-24,16166,92.26907051,5.50618723,2.2238168199999997
2021-08-25,18526,91.71832758,5.71665156,2.5642376600000003
2021-08-26,21073,90.8008567,6.27827628,2.92015499
2021-08-27,23056,89.16570062,7.576789690000001,3.25685705
2021-08-30,30808,87.47985659999999,8.25070426,4.26844396
2021-08-31,35652,87.35896526,7.69434198,4.94555532
2021-09-01,36584,87.57740307,7.323414369999999,5.09790289
2021-09-02,37422,86.98017458,7.79800338,5.22054234
2021-09-03,38120,85.10370999999999,9.462748079999999,5.43280868
2021-09-06,36768,86.18185380000001,8.63880851,5.1778249800000005
2021-09-07,38361,86.50521341000001,8.15089796,5.34303671
2021-09-08,38153,87.03896334000001,7.69354753,5.266140050000001
2021-09-09,35275,86.92621984,8.14568286,4.92660613
2021-09-10,35029,85.10396453,9.9190822,4.9764650900000005
2021-09-13,25789,87.80280332,8.30921273,3.88667527
