Date,Ayrshire and Arran,Borders,Dumfries and Galloway,Fife,Forth Valley,Grampian,Greater Glasgow and Clyde,Highland,Lanarkshire,Lothian,Orkney,Shetland,Tayside,Western Isles,The Golden Jubilee National Hospital
2020-09-11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-09-12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-09-13,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-09-14,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-09-15,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-09-16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-09-17,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-09-18,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-09-19,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-09-20,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-09-21,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-09-22,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-09-23,*,*,*,*,*,*,5,*,*,*,*,*,*,*,*
2020-09-24,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-09-25,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-09-26,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020-09-27,*,*,*,*,*,*,5,*,*,*,*,*,*,*,*
2020-09-28,*,*,*,*,*,*,5,*,6,*,*,*,*,*,*
2020-09-29,*,*,*,*,*,*,5,*,*,*,*,*,*,*,*
2020-09-30,*,*,*,*,*,*,5,*,*,*,*,*,*,*,*
2020-10-01,*,*,*,*,*,*,5,*,5,*,*,*,*,*,*
2020-10-02,*,*,*,*,*,*,*,*,5,5,*,*,*,*,*
2020-10-03,*,*,*,*,*,*,5,*,6,5,*,*,*,*,*
2020-10-04,*,*,*,*,*,*,6,*,*,*,*,*,*,*,*
2020-10-05,*,*,*,*,*,*,6,*,*,*,*,*,*,*,*
2020-10-06,*,*,*,*,*,*,6,*,*,6,*,*,*,*,*
2020-10-07,*,*,*,*,*,*,7,*,*,7,*,*,*,*,*
2020-10-08,5,*,*,*,*,*,9,*,*,6,*,*,*,*,*
2020-10-09,5,*,*,*,*,*,11,*,*,6,*,*,*,*,*
2020-10-10,5,*,*,*,*,*,13,*,*,6,*,*,*,*,*
2020-10-11,5,*,*,*,*,*,14,*,5,5,*,*,*,*,*
2020-10-12,5,*,*,*,*,*,13,*,5,7,*,*,*,*,*
2020-10-13,5,*,*,*,*,*,14,*,6,*,*,*,*,*,*
2020-10-14,5,*,*,*,*,*,15,*,10,6,*,*,*,*,*
2020-10-15,5,*,*,*,*,*,16,*,10,7,*,*,*,*,*
2020-10-16,5,*,*,*,5,*,19,*,9,7,*,*,*,*,*
2020-10-17,7,*,*,*,*,*,21,*,10,8,*,*,*,*,*
2020-10-18,8,*,*,*,*,*,20,*,11,8,*,*,*,*,*
2020-10-19,8,*,*,*,*,*,19,*,12,8,*,*,*,*,*
2020-10-20,8,*,*,*,*,*,18,*,16,9,*,*,*,*,*
2020-10-21,8,*,*,*,5,*,18,*,15,9,*,*,*,*,*
2020-10-22,7,*,*,*,6,*,19,*,16,8,*,*,*,*,*
2020-10-23,8,*,*,*,7,*,17,*,16,9,*,*,*,*,*
2020-10-24,6,*,*,*,9,5,22,*,18,9,*,*,*,*,*
2020-10-25,6,*,*,5,10,5,23,*,18,8,*,*,*,*,*
2020-10-26,7,*,*,5,11,5,21,*,20,8,*,*,*,*,*
2020-10-27,7,*,*,5,12,*,17,*,19,8,*,*,*,*,*
2020-10-28,7,*,*,6,11,*,20,*,20,7,*,*,*,*,*
2020-10-29,7,*,*,7,11,*,18,*,22,8,*,*,*,*,*
2020-10-30,7,*,*,7,8,*,17,*,21,10,*,*,6,*,*
2020-10-31,7,*,*,7,7,*,15,*,21,10,*,*,6,*,*
2020-11-01,8,*,*,8,6,*,15,*,19,11,*,*,7,*,*
2020-11-02,8,*,*,10,10,*,21,*,21,9,*,*,7,*,*
2020-11-03,8,*,*,11,9,*,20,*,22,8,*,*,6,*,*
2020-11-04,9,*,*,11,10,*,22,*,23,8,*,*,6,*,*
2020-11-05,9,*,*,12,10,*,21,*,24,9,*,*,5,*,*
2020-11-06,8,*,*,12,9,6,22,*,25,8,*,*,5,*,*
2020-11-07,8,*,*,10,10,6,29,*,24,9,*,*,6,*,*
2020-11-08,8,*,*,10,10,6,30,*,24,10,*,*,9,*,*
2020-11-09,10,*,*,11,10,6,27,*,24,8,*,*,6,*,*
2020-11-10,10,*,*,10,10,6,26,*,23,9,*,*,6,*,*
2020-11-11,8,*,*,10,10,6,25,*,20,7,*,*,5,*,*
2020-11-12,7,*,*,9,8,6,31,*,23,7,*,*,5,*,*
2020-11-13,8,*,*,7,8,9,27,*,21,9,*,*,*,*,*
2020-11-14,7,*,*,7,10,9,25,*,20,7,*,*,*,*,*
2020-11-15,8,*,*,8,10,9,28,*,20,9,*,*,5,*,*
2020-11-16,7,*,*,9,9,9,28,*,21,9,*,*,*,*,*
2020-11-17,7,*,*,9,9,8,26,*,22,8,*,*,*,*,*
