Date,Students - Universities - Positive tests - Cumulative,Students - Universities - Positive cases - Weekly,Students - Universities - Positive cases - Daily Average
2020-10-16,2330,480,69
2020-10-23,2615,250,36
2020-10-30,2860,180,26
2020-11-06,3085,190,27
2020-11-10,3160,155,22
2020-11-13,3275,165,24
2020-11-17,3365,195,28
2020-11-20,3450,195,28
2020-11-27,3680,205,30
2020-12-04,3800,120,17
2020-12-11,3890,95,13
2021-01-15,4185,NA,NA
2021-01-22,4290,95,13
2021-01-29,4375,85,12
2021-02-05,4445,75,11
2021-02-12,4520,70,10
2021-02-19,4565,45,6
2021-02-26,4615,45,7
2021-03-05,4645,30,5
2021-03-12,4690,45,7
2021-03-19,4750,50,7
2021-03-26,4925,170,24
2021-04-23,5065,NA,NA
2021-04-30,5080,10,2
2021-05-07,5085,5,1
2021-05-14,5095,10,2
2021-05-21,5115,15,2
2021-05-28,5150,35,5
2021-06-04,5195,45,7
2021-06-11,5245,45,7
2021-06-18,5310,70,8
2021-06-25,5355,45,6
