Date,Vaccinations - Number of people who have received first dose,Vaccinations - Number of people who have received second dose
2021-01-11,163377,2758
2021-01-12,175942,2857
2021-01-13,191965,2990
2021-01-14,208207,3190
2021-01-15,224840,3331
2021-01-16,241924,3512
2021-01-17,260140,3657
2021-01-18,264991,3698
2021-01-19,284582,3886
2021-01-20,309909,4170
2021-01-21,334871,4466
2021-01-22,358454,4689
2021-01-23,380667,5188
2021-01-24,404038,5383
2021-01-25,415402,5538
2021-01-26,437900,6060
2021-01-27,462092,6596
2021-01-28,491658,6783
2021-01-29,515855,7095
2021-01-30,543370,7638
2021-01-31,566269,7794
2021-02-01,575897,7849
2021-02-02,610778,8345
2021-02-03,649262,8758
2021-02-04,694347,9031
2021-02-05,742512,9529
2021-02-06,786427,10332
2021-02-07,839266,10582
2021-02-08,866823,10690
2021-02-09,928122,12257
2021-02-10,985569,12866
2021-02-11,1048747,13195
2021-02-12,1113625,13566
2021-02-13,1173445,14009
2021-02-14,1223774,14281
2021-02-15,1255190,14501
2021-02-16,1288004,17137
2021-02-17,1320074,20409
2021-02-18,1354966,24169
2021-02-19,1386152,29015
2021-02-20,1412643,33473
2021-02-21,1431942,35479
2021-02-22,1445488,37342
2021-02-23,1465241,43203
2021-02-24,1488077,50121
2021-02-25,1515980,56661
2021-02-26,1542929,65340
2021-02-27,1570153,72178
2021-02-28,1593695,76512
2021-03-01,1611578,78865
2021-03-02,1634361,84445
2021-03-03,1661879,92550
2021-03-04,1688608,100058
2021-03-05,1717672,108197
2021-03-06,1743869,114081
2021-03-07,1759750,115930
2021-03-08,1774659,118732
2021-03-09,1789377,123686
2021-03-10,1809158,132760
2021-03-11,1825800,141433
2021-03-12,1844636,149409
2021-03-13,1867123,156250
2021-03-14,1888697,160038
2021-03-15,1908991,161945
2021-03-16,1943507,170892
2021-03-17,1981818,181879
2021-03-18,2023002,192100
2021-03-19,2066460,201435
2021-03-20,2110780,211272
2021-03-21,2144940,220188
2021-03-22,2182400,225096
2021-03-23,2214672,235671
2021-03-24,2249612,249252
2021-03-25,2285711,263236
2021-03-26,2322832,279814
2021-03-27,2358807,294714
2021-03-28,2386158,317217
2021-03-29,2410281,331969
2021-03-30,2437543,348635
2021-03-31,2465541,372104
2021-04-01,2493327,399062
2021-04-02,2515748,414540
2021-04-03,2535889,434941
2021-04-04,2553837,451057
2021-04-05,2565280,456374
2021-04-06,2577816,463780
2021-04-07,2593932,479239
2021-04-08,2608831,500376
2021-04-09,2625577,524812
2021-04-10,2643524,551699
2021-04-11,2657578,568875
2021-04-12,2668723,590174
2021-04-13,2682706,605126
2021-04-14,2694971,634422
2021-04-15,2708691,661975
2021-04-16,2722084,688761
2021-04-17,2733387,715714
2021-04-18,2744231,738420
2021-04-19,2747694,757115
2021-04-20,2750052,797267
2021-04-21,2752575,847655
2021-04-22,2755175,898231
2021-04-23,2758381,949228
2021-04-24,2764607,993180
2021-04-25,2771159,1042386
2021-04-26,2773770,1068704
2021-04-27,2782162,1102690
2021-04-28,2789978,1142947
2021-04-29,2796810,1184629
2021-04-30,2802152,1224861
2021-05-01,2811343,1263862
2021-05-02,2817752,1297664
2021-05-03,2824955,1326599
2021-05-04,2833761,1348050
2021-05-05,2846834,1373882
2021-05-06,2860635,1400296
2021-05-07,2876633,1424208
2021-05-08,2883384,1450798
2021-05-09,2897975,1468296
2021-05-10,2909156,1485296
2021-05-11,2928963,1506613
2021-05-12,2948604,1526889
2021-05-13,2968169,1551339
2021-05-14,2985557,1575765
2021-05-15,3003339,1599519
2021-05-16,3020335,1621031
2021-05-17,3035790,1638536
2021-05-18,3045152,1669469
2021-05-19,3051383,1704388
2021-05-20,3063648,1742072
2021-05-21,3082251,1769040
2021-05-22,3096341,1799956
2021-05-23,3108819,1828930
2021-05-24,3121945,1852179
2021-05-25,3138366,1881214
2021-05-26,3155733,1913809
2021-05-27,3174807,1942285
2021-05-28,3196051,1971006
2021-05-29,3215770,1998409
2021-05-30,3234311,2022728
2021-05-31,3251138,2044253
2021-06-01,3267290,2075231
2021-06-02,3286261,2106177
2021-06-03,3305812,2137618
2021-06-04,3326005,2170570
2021-06-05,3345842,2202547
2021-06-06,3365779,2227493
2021-06-07,3386321,2251259
2021-06-08,3403866,2282203
2021-06-09,3422431,2313695
2021-06-10,3441217,2345181
2021-06-11,3459063,2375246
2021-06-12,3477378,2402700
2021-06-13,3497287,2425825
2021-06-14,3517668,2446834
2021-06-15,3531461,2470181
2021-06-16,3551739,2493358
2021-06-17,3571726,2516066
2021-06-18,3591638,2535803
2021-06-19,3611266,2555308
2021-06-20,3630589,2571637
2021-06-21,3647437,2586970
2021-06-22,3664571,2602753
2021-06-23,3681620,2617450
2021-06-24,3695303,2631533
2021-06-25,3709801,2647397
2021-06-26,3730101,2666827
2021-06-27,3747510,2679357
2021-06-28,3765379,2691775
2021-06-29,3781887,2701195
2021-06-30,3799467,2712237
2021-07-01,3816251,2722725
2021-07-02,3831770,2737347
2021-07-03,3844371,2749373
2021-07-04,3857584,2762156
2021-07-05,3869223,2774136
2021-07-06,3879458,2791071
2021-07-07,3890176,2808902
2021-07-08,3900864,2825886
2021-07-09,3911189,2843938
2021-07-10,3920145,2861110
2021-07-11,3928409,2877326
2021-07-12,3934408,2893271
2021-07-13,3941571,2903557
2021-07-14,3948446,2914904
2021-07-15,3956549,2927130
2021-07-16,3963502,2940202
2021-07-17,3970026,2954776
2021-07-18,3976022,2966054
2021-07-19,3981950,2978746
2021-07-20,3984433,2995086
2021-07-21,3987074,3010505
