Date,Vaccine supply - Total number of doses allocated,Vaccine supply - Total number of doses delivered
2021-02-15,1618320,1520690
2021-02-22,1763400,1643450
2021-03-01,2138450,1886160
2021-03-08,2882440,2189030
2021-03-15,3209170,2673640
2021-03-22,3473250,3054390
2021-03-29,3744260,3257390
2021-04-05,3814460,3528790
2021-04-12,4127540,3720170
2021-04-19,4429780,3935850
2021-04-26,4718140,4216470
2021-05-04,5015190,4601370
2021-05-10,5333050,4837850
2021-05-17,5644630,5142230
2021-05-24,5956040,5499130
2021-06-01,6371720,5791490
2021-06-07,6552070,6062250
2021-06-14,6858240,6262640
2021-06-21,6974790,6445570
2021-06-28,7257460,6636390
2021-07-05,7437240,6833570
2021-07-12,7720270,6953510
