Date,Delayed discharges
2020-03-04,1612
2020-03-09,1533
2020-03-10,1553
2020-03-11,1502
2020-03-12,1549
2020-03-13,1528
2020-03-16,1492
2020-03-17,1487
2020-03-18,1483
2020-03-19,1411
2020-03-20,1358
2020-03-23,1209
2020-03-24,1200
2020-03-25,1120
2020-03-26,1090
2020-03-27,1075
2020-03-30,1041
2020-03-31,987
2020-04-01,921
2020-04-02,890
2020-04-03,805
2020-04-06,740
2020-04-07,725
2020-04-08,692
2020-04-09,687
2020-04-10,652
2020-04-13,611
2020-04-14,589
2020-04-15,591
2020-04-16,616
2020-04-17,628
2020-04-20,619
2020-04-21,587
2020-04-22,610
2020-04-23,600
2020-04-24,582
2020-04-27,580
2020-04-28,591
2020-04-29,597
2020-04-30,593
2020-05-01,607
2020-05-04,600
2020-05-05,607
2020-05-06,613
2020-05-07,608
2020-05-08,632
2020-05-11,610
2020-05-12,632
2020-05-13,630
2020-05-14,638
2020-05-15,662
2020-05-18,647
2020-05-19,653
2020-05-20,659
2020-05-21,680
2020-05-22,697
2020-05-25,704
2020-05-26,700
2020-05-27,703
2020-05-28,723
2020-05-29,738
2020-06-01,738
2020-06-02,730
2020-06-03,759
2020-06-04,769
2020-06-05,774
2020-06-08,768
2020-06-09,737
2020-06-10,747
2020-06-11,748
2020-06-12,766
2020-06-15,739
2020-06-16,745
2020-06-17,754
2020-06-18,770
2020-06-19,777
2020-06-22,784
2020-06-23,765
2020-06-24,772
2020-06-25,776
2020-06-26,792
2020-06-29,793
2020-06-30,773
2020-07-01,795
2020-07-02,825
2020-07-03,833
2020-07-06,831
2020-07-07,834
2020-07-08,841
2020-07-09,855
2020-07-10,855
2020-07-13,833
2020-07-14,853
2020-07-15,856
2020-07-16,860
2020-07-17,871
2020-07-20,867
2020-07-21,872
2020-07-22,892
2020-07-23,902
2020-07-24,905
2020-07-27,921
2020-07-28,891
2020-07-29,920
2020-07-30,NA
2020-07-31,NA
2020-08-01,NA
2020-08-02,NA
2020-08-03,NA
2020-08-04,NA
2020-08-05,921
2020-08-06,NA
2020-08-07,NA
2020-08-08,NA
2020-08-09,NA
2020-08-10,NA
2020-08-11,NA
2020-08-12,937
2020-08-13,NA
2020-08-14,NA
2020-08-15,NA
2020-08-16,NA
2020-08-17,NA
2020-08-18,NA
2020-08-19,1031
2020-08-20,NA
2020-08-21,NA
2020-08-22,NA
2020-08-23,NA
2020-08-24,NA
2020-08-25,NA
2020-08-26,1011
2020-08-27,NA
2020-08-28,NA
2020-08-29,NA
2020-08-30,NA
2020-08-31,NA
2020-09-01,NA
2020-09-02,1016
2020-09-03,NA
2020-09-04,NA
2020-09-05,NA
2020-09-06,NA
2020-09-07,NA
2020-09-08,NA
2020-09-09,1036
2020-09-10,NA
2020-09-11,NA
2020-09-12,NA
2020-09-13,NA
2020-09-14,NA
2020-09-15,NA
2020-09-16,1056
2020-09-17,NA
2020-09-18,NA
2020-09-19,NA
2020-09-20,NA
2020-09-21,NA
2020-09-22,NA
2020-09-23,1044
2020-09-24,NA
2020-09-25,NA
2020-09-26,NA
2020-09-27,NA
2020-09-28,NA
2020-09-29,NA
2020-09-30,1030
2020-10-01,NA
2020-10-02,NA
2020-10-03,NA
2020-10-04,NA
2020-10-05,NA
2020-10-06,NA
2020-10-07,1036
2020-10-08,NA
2020-10-09,NA
2020-10-10,NA
2020-10-11,NA
2020-10-12,NA
2020-10-13,NA
2020-10-14,1007
2020-10-15,NA
2020-10-16,NA
2020-10-17,NA
2020-10-18,NA
2020-10-19,NA
2020-10-20,NA
