Date,Schools - Number of pupils absent due to COVID-19 related reasons,Schools - Percentage attendance,"Schools - Percentage absence - Percentage of openings where pupils were not in school - Not related to COVID-19 (authorised and unauthorised, including exclusions)",Schools - Percentage absence - Percentage of openings where pupils were not in school - Related to COVID-19
2021-08-19,7435,95.01431298,3.9636977300000003,1.02106357
2021-08-20,8397,94.08860081,4.72773209,1.1830958800000002
2021-08-23,13153,92.88168358,5.31412795,1.8031919900000002
2021-08-24,16166,92.26907051,5.50618723,2.2238168199999997
2021-08-25,18526,91.71832758,5.71665156,2.5642376600000003
2021-08-26,21073,90.8008567,6.27827628,2.92015499
2021-08-27,23056,89.16570062,7.576789690000001,3.25685705
2021-08-30,30808,87.47985659999999,8.25070426,4.26844396
2021-08-31,35652,87.35896526,7.69434198,4.94555532
2021-09-01,36584,87.57740307,7.323414369999999,5.09790289
2021-09-02,37422,86.98017458,7.79800338,5.22054234
2021-09-03,38120,85.10370999999999,9.462748079999999,5.43280868
2021-09-06,36768,86.18185380000001,8.63880851,5.1778249800000005
2021-09-07,40818,86.19668869,8.11639309,5.685639169999999
2021-09-08,40442,86.70870242000001,7.63516165,5.654145959999999
2021-09-09,37562,86.57313874,8.17398126,5.25103236
2021-09-10,36518,84.94260491,9.86846926,5.18827443
2021-09-13,27819,87.51776023,8.28581864,4.19511128
2021-09-14,29795,87.86322015,7.79729067,4.33829912
2021-09-15,29992,88.3353051,7.46326098,4.19993728
2021-09-16,27880,88.44132463999999,7.652252400000001,3.9051416299999997
2021-09-17,23801,87.29929075,9.08381518,3.61628581
2021-09-20,16102,89.25525297,7.84816091,2.89658612
2021-09-21,22177,89.25464491,7.533504740000001,3.21081391
2021-09-22,22365,89.23400733,7.644135769999999,3.1201497700000003
2021-09-23,21401,88.24347255,8.7713297,2.98349096
2021-09-24,13155,87.58323325999999,9.31117157,3.10449977
2021-09-27,11608,88.70302818,8.71942743,2.57527301
2021-09-28,18034,89.91218613000001,7.582546519999999,2.50427115
2021-09-29,17655,90.15564357,7.37940683,2.4638821799999997
2021-09-30,16821,89.22301467,8.42771009,2.3482792399999997
2021-10-01,15903,87.74680466,9.9586738,2.2937871999999997
2021-10-04,14261,89.31062731,8.66390299,2.0243056299999997
2021-10-05,15155,89.52887695,8.30875323,2.16120569
2021-10-06,15044,89.44409802999999,8.41372617,2.1409389
2021-10-07,15027,88.04145871,9.7977843,2.15980718
2021-10-08,13123,84.14874285,13.51401998,2.33652812
2021-10-11,2358,89.92095196999999,8.114297350000001,1.95669321
2021-10-12,2478,89.92110696,8.036406950000002,2.03443145
2021-10-13,2516,89.77362330000001,8.13133241,2.08741363
2021-10-14,2534,90.25910643,7.24374048,2.4971530800000004
2021-10-15,2469,84.59766247,13.074513660000001,2.32199945
2021-10-18,3748,89.49554859999999,9.01135288,1.49309851
2021-10-19,6499,90.07288410999999,8.29811408,1.6290018099999997
2021-10-20,6205,90.77115302,7.667461430000001,1.5613855399999998
2021-10-21,5724,90.90553348,7.66830431,1.4261622100000002
2021-10-22,5914,89.18986115,9.34089668,1.4692421700000002
2021-10-25,8324,91.16644263,7.43516177,1.39839559
2021-10-26,8906,91.41252412,7.264618929999999,1.32164941
2021-10-27,8762,91.65223608,7.047358869999999,1.29935374
2021-10-28,8953,91.32675361,7.342933059999999,1.32926193
2021-10-29,8271,90.38070486999999,8.387595249999999,1.2311796
2021-11-01,9749,90.13344223,8.5058625,1.35955296
