Date,Vaccine supply - Total number of doses allocated,Vaccine supply - Total number of doses delivered
2021-02-15,1618320,1520690
2021-02-22,1763400,1643450
2021-03-01,2138450,1886160
2021-03-08,2882440,2189030
2021-03-15,3209170,2673640
2021-03-22,3473250,3054390
2021-03-29,3744260,3257390
2021-04-05,3814460,3528790
2021-04-12,4127540,3720170
2021-04-19,4429780,3935850
2021-04-26,4718140,4216470
2021-05-04,5015190,4601370
2021-05-10,5333050,4837850
2021-05-17,5644630,5142230
2021-05-24,5956040,5499130
2021-06-01,6371720,5791490
2021-06-07,6552070,6062250
2021-06-14,6858240,6262640
2021-06-21,6974790,6445570
2021-06-28,7257460,6636390
2021-07-05,7437240,6833570
2021-07-12,7720270,6953510
2021-07-19,7941400,7010410
2021-07-26,7952530,7060640
2021-08-02,7952530,7170900
2021-08-09,7952530,7317690
2021-08-16,7900450,7464510
2021-08-23,7900290,7567740
2021-08-31,8050130,7698730
2021-09-06,8050130,7767680
2021-09-13,8050130,7808380
2021-09-20,8285920,7882110
2021-09-27,8521740,8031800
2021-10-04,9680220,8233140
2021-10-11,9893160,8439610
2021-10-18,10218310,8643200
2021-10-25,10488580,8867800
2021-11-01,10678850,9088600
2021-11-08,10791170,9356070
2021-11-15,10791170,9573360
