data_set_id,table_name,table_name_old,description,import,export,archived,partial,source,sheet,row_min,col_min,row_max,col_max,na,skip,n_max,variable_name,export_filename_new,export_filename_old
hb_01,Cumulative cases,,"Cumulative number of cases with positive tests for COVID-19, by health board.",TRUE,TRUE,FALSE,FALSE,hb,Table 1 - Cumulative PCR cases,3,1,,16,,,,Testing - Cumulative people tested for COVID-19 - Positive,cumulative-cases,COVID19 - Daily Management Information - Scottish Health Boards - Cumulative cases
hb_02,ICU patients,,"Numbers of people in ICU with confirmed COVID-19, by health board.",TRUE,TRUE,FALSE,FALSE,hb,Table 2 - ICU patients,3,1,,17,,,,COVID-19 patients in ICU - Confirmed,icu-patients-confirmed,COVID19 - Daily Management Information - Scottish Health Boards - ICU patients - Confirmed
hb_02a_archived,ICU patients (archived),,"Numbers of people in ICU with confirmed and suspected COVID-19, by health board.",TRUE,TRUE,TRUE,FALSE,hb,Table 2 - ICU (Hist.),3,1,,17,N/A,,,COVID-19 patients in ICU - Confirmed (archived),icu-patients-confirmed-archived,COVID19 - Daily Management Information - Scottish Health Boards - ICU patients - Confirmed - Archived
hb_02b_archived,ICU patients (archived),,"Numbers of people in ICU with confirmed and suspected COVID-19, by health board.",TRUE,TRUE,TRUE,FALSE,hb,Table 2 - ICU (Hist.),3,19,,35,N/A,,,COVID-19 patients in ICU - Total (archived),icu-patients-total-archived,COVID19 - Daily Management Information - Scottish Health Boards - ICU patients - Total - Archived
hb_03,Hospital patients,,"Numbers of people in hospital with confirmed COVID-19, by health board.",TRUE,TRUE,FALSE,FALSE,hb,Table 3 - Hospital patients,3,1,,17,,,,COVID-19 patients in hospital - Confirmed,hospital-patients-confirmed,COVID19 - Daily Management Information - Scottish Health Boards - Hospital patients - Confirmed
hb_03a_archived,Hospital patients (archived),,"Numbers of people in hospital with confirmed and suspected COVID-19, by health board.",TRUE,TRUE,TRUE,FALSE,hb,Table 3- Hospital (Hist.),3,1,,17,N/A,,,COVID-19 patients in hospital - Confirmed (archived),hospital-patients-confirmed-archived,COVID19 - Daily Management Information - Scottish Health Boards - Hospital patients - Confirmed - Archived
hb_03b_archived,Hospital patients (archived),,"Numbers of people in hospital with confirmed and suspected COVID-19, by health board.",TRUE,TRUE,TRUE,FALSE,hb,Table 3- Hospital (Hist.),3,19,,35,N/A,,,COVID-19 patients in hospital - Suspected (archived),hospital-patients-suspected-archived,COVID19 - Daily Management Information - Scottish Health Boards - Hospital patients - Suspected - Archived
sc_01_archived,NHS 24 (archived),,Numbers of calls to NHS 111 and the coronavirus helpline.,TRUE,TRUE,TRUE,FALSE,sc,Table 1 - NHS 24,3,1,,,,,,,nhs-24-calls,COVID19 - Daily Management Information - Scotland - Calls
sc_02,Hospital care,Table 2 - Daily number of people in hospital with recently confirmed COVID-19 in Scotland,Numbers of people in hospital and in ICU with recently confirmed COVID-19.,TRUE,TRUE,FALSE,FALSE,sc,Table 2 - Hospital Care,3,1,,4,,,,,hospital-care,COVID19 - Daily Management Information - Scotland - Hospital care
sc_02_archived,Hospital care (archived),,Numbers of people in hospital and in ICU with confirmed COVID-19.,TRUE,TRUE,TRUE,FALSE,sc,Table 2 - Archive Hospital Care,4,1,,7,,,,,hospital-care-archived,COVID19 - Daily Management Information - Scotland - Hospital care - Archived
sc_03_archived,Ambulance,,"Numbers of ambulance attendances (total and COVID-19 suspected), and number of people taken to hospital with suspected COVID-19.",TRUE,TRUE,TRUE,FALSE,sc,Table 3 - Ambulance,3,2,,5,,,,,ambulance-archived,COVID19 - Daily Management Information - Scotland - Ambulance
sc_04,Delayed discharges,Table 4 - Number of people delayed in hospital,Number of people delayed in hospital.,TRUE,TRUE,FALSE,FALSE,sc,Table 4 - Delayed Discharges,3,2,,3,,,,,delayed-discharges,COVID19 - Daily Management Information - Scotland - Delayed discharges
sc_05a,Testing (PCR & LFD),,Reported numbers of COVID-19 tests (PCR and LFD) and numbers of new cases reported in Scotland.,TRUE,TRUE,FALSE,FALSE,sc,Table 5a - Testing (PCR & LFD),4,1,,6,N/A,,,,testing-PCR-and-LFD,
sc_05b,Testing (PCR),Table 5 - Reported numbers of COVID-19 tests and numbers of new cases reported in Scotland,Reported numbers of COVID-19 tests (PCR) and numbers of new cases reported in Scotland.,TRUE,TRUE,FALSE,FALSE,sc,Table 5b - Testing (PCR),4,1,,19,N/A,,,,testing -PCR,COVID19 - Daily Management Information - Scotland - Testing
sc_06_1,Workforce,Table 6 - Number of NHS staff reporting as absent due to Covid-19,Numbers of NHS workforce reporting as absent due to a range of reasons related to Covid-19.,TRUE,TRUE,TRUE,FALSE,sc,Table 6 - Workforce,2,1,114,5,,,,,workforce-daily,COVID19 - Daily Management Information - Scotland - Workforce - Daily
