data_set_id,col_id,col_name_old,col_name_new,col_type,comments
hb_01,1,Date notified,Date,date,
hb_01,2,NHS Ayrshire & Arran,Ayrshire and Arran,text,
hb_01,3,NHS Borders,Borders,text,
hb_01,4,NHS Dumfries & Galloway,Dumfries and Galloway,text,
hb_01,5,NHS Fife,Fife,text,
hb_01,6,NHS Forth Valley,Forth Valley,text,
hb_01,7,NHS Grampian,Grampian,text,
hb_01,8,NHS Greater Glasgow & Clyde,Greater Glasgow and Clyde,text,
hb_01,9,NHS Highland,Highland,text,
hb_01,10,NHS Lanarkshire,Lanarkshire,text,
hb_01,11,NHS Lothian,Lothian,text,
hb_01,12,NHS Orkney,Orkney,text,
hb_01,13,NHS Shetland,Shetland,text,
hb_01,14,NHS Tayside,Tayside,text,
hb_01,15,NHS Western Isles,Western Isles,text,
hb_01,16,Scotland,Scotland (Total),skip,
hb_02,1,Reporting date,Date,date,
hb_02,2,NHS Ayrshire & Arran,Ayrshire and Arran,text,
hb_02,3,NHS Borders,Borders,text,
hb_02,4,NHS Dumfries & Galloway,Dumfries and Galloway,text,
hb_02,5,NHS Fife,Fife,text,
hb_02,6,NHS Forth Valley,Forth Valley,text,
hb_02,7,NHS Grampian,Grampian,text,
hb_02,8,NHS Greater Glasgow & Clyde,Greater Glasgow and Clyde,text,
hb_02,9,NHS Highland,Highland,text,
hb_02,10,NHS Lanarkshire,Lanarkshire,text,
hb_02,11,NHS Lothian,Lothian,text,
hb_02,12,NHS Orkney,Orkney,text,
hb_02,13,NHS Shetland,Shetland,text,
hb_02,14,NHS Tayside,Tayside,text,
hb_02,15,NHS Western Isles,Western Isles,text,
hb_02,16,Golden Jubilee National Hospital,The Golden Jubilee National Hospital,text,
hb_02,17,Scotland total,Scotland (Total),skip,
hb_02a_archived,1,Date,Date,date,
hb_02a_archived,2,NHS Ayrshire & Arran,Ayrshire and Arran,text,
hb_02a_archived,3,NHS Borders,Borders,text,
hb_02a_archived,4,NHS Dumfries & Galloway,Dumfries and Galloway,text,
hb_02a_archived,5,NHS Fife,Fife,text,
hb_02a_archived,6,NHS Forth Valley,Forth Valley,text,
hb_02a_archived,7,NHS Grampian,Grampian,text,
hb_02a_archived,8,NHS Greater Glasgow & Clyde,Greater Glasgow and Clyde,text,
hb_02a_archived,9,NHS Highland,Highland,text,
hb_02a_archived,10,NHS Lanarkshire,Lanarkshire,text,
hb_02a_archived,11,NHS Lothian,Lothian,text,
hb_02a_archived,12,NHS Orkney,Orkney,text,
hb_02a_archived,13,NHS Shetland,Shetland,text,
hb_02a_archived,14,NHS Tayside,Tayside,text,
hb_02a_archived,15,NHS Western Isles,Western Isles,text,
hb_02a_archived,16,Golden Jubilee National Hospital,The Golden Jubilee National Hospital,text,
hb_02a_archived,17,Scotland total,Scotland (Total),skip,
hb_02b_archived,1,Date,Date,date,
hb_02b_archived,2,NHS Ayrshire & Arran,Ayrshire and Arran,text,
hb_02b_archived,3,NHS Borders,Borders,text,
hb_02b_archived,4,NHS Dumfries & Galloway,Dumfries and Galloway,text,
hb_02b_archived,5,NHS Fife,Fife,text,
hb_02b_archived,6,NHS Forth Valley,Forth Valley,text,
hb_02b_archived,7,NHS Grampian,Grampian,text,
hb_02b_archived,8,NHS Greater Glasgow & Clyde,Greater Glasgow and Clyde,text,
hb_02b_archived,9,NHS Highland,Highland,text,
hb_02b_archived,10,NHS Lanarkshire,Lanarkshire,text,
hb_02b_archived,11,NHS Lothian,Lothian,text,
hb_02b_archived,12,NHS Orkney,Orkney,text,
hb_02b_archived,13,NHS Shetland,Shetland,text,
hb_02b_archived,14,NHS Tayside,Tayside,text,
hb_02b_archived,15,NHS Western Isles,Western Isles,text,
hb_02b_archived,16,Golden Jubilee National Hospital,The Golden Jubilee National Hospital,text,
hb_02b_archived,17,Scotland total,Scotland (Total),skip,
hb_03,1,Reporting date,Date,date,
hb_03,2,NHS Ayrshire & Arran,Ayrshire and Arran,text,
hb_03,3,NHS Borders,Borders,text,
hb_03,4,NHS Dumfries & Galloway,Dumfries and Galloway,text,
hb_03,5,NHS Fife,Fife,text,
hb_03,6,NHS Forth Valley,Forth Valley,text,
hb_03,7,NHS Grampian,Grampian,text,
hb_03,8,NHS Greater Glasgow & Clyde,Greater Glasgow and Clyde,text,
hb_03,9,NHS Highland,Highland,text,
hb_03,10,NHS Lanarkshire,Lanarkshire,text,
hb_03,11,NHS Lothian,Lothian,text,
hb_03,12,NHS Orkney,Orkney,text,
hb_03,13,NHS Shetland,Shetland,text,
hb_03,14,NHS Tayside,Tayside,text,
hb_03,15,NHS Western Isles,Western Isles,text,
hb_03,16,Golden Jubilee National Hospital,The Golden Jubilee National Hospital,text,
hb_03,17,Scotland,Scotland (Total),skip,
hb_03a_archived,1,Date,Date,date,
hb_03a_archived,2,NHS Ayrshire & Arran,Ayrshire and Arran,text,
hb_03a_archived,3,NHS Borders,Borders,text,
hb_03a_archived,4,NHS Dumfries & Galloway,Dumfries and Galloway,text,
hb_03a_archived,5,NHS Fife,Fife,text,
hb_03a_archived,6,NHS Forth Valley,Forth Valley,text,
hb_03a_archived,7,NHS Grampian,Grampian,text,
hb_03a_archived,8,NHS Greater Glasgow & Clyde,Greater Glasgow and Clyde,text,
hb_03a_archived,9,NHS Highland,Highland,text,
hb_03a_archived,10,NHS Lanarkshire,Lanarkshire,text,
hb_03a_archived,11,NHS Lothian,Lothian,text,
hb_03a_archived,12,NHS Orkney,Orkney,text,
hb_03a_archived,13,NHS Shetland,Shetland,text,
hb_03a_archived,14,NHS Tayside,Tayside,text,
hb_03a_archived,15,NHS Western Isles,Western Isles,text,
hb_03a_archived,16,Golden Jubilee National Hospital,The Golden Jubilee National Hospital,text,
hb_03a_archived,17,Scotland total,Scotland (Total),skip,
hb_03b_archived,1,Date,Date,date,
hb_03b_archived,2,NHS Ayrshire & Arran,Ayrshire and Arran,text,
hb_03b_archived,3,NHS Borders,Borders,text,
hb_03b_archived,4,NHS Dumfries & Galloway,Dumfries and Galloway,text,
hb_03b_archived,5,NHS Fife,Fife,text,
hb_03b_archived,6,NHS Forth Valley,Forth Valley,text,
hb_03b_archived,7,NHS Grampian,Grampian,text,
hb_03b_archived,8,NHS Greater Glasgow & Clyde,Greater Glasgow and Clyde,text,
hb_03b_archived,9,NHS Highland,Highland,text,
hb_03b_archived,10,NHS Lanarkshire,Lanarkshire,text,
hb_03b_archived,11,NHS Lothian,Lothian,text,
hb_03b_archived,12,NHS Orkney,Orkney,text,
hb_03b_archived,13,NHS Shetland,Shetland,text,
hb_03b_archived,14,NHS Tayside,Tayside,text,
hb_03b_archived,15,NHS Western Isles,Western Isles,text,
