Date,Students - Colleges - Positive tests - Cumulative,Students - Colleges - Positive cases - Weekly,Students - Colleges - Positive cases - Daily Average
2020-10-30,230,65,9
2020-11-06,305,75,11
2020-11-13,375,55,8
2020-11-20,435,65,9
2020-11-27,470,40,6
2020-12-04,530,50,7
2020-12-11,560,25,4
2021-01-15,645,NA,NA
2021-01-22,670,50,7
2021-01-29,705,25,4
2021-02-05,740,20,3
2021-02-12,750,15,2
2021-02-19,760,20,3
2021-02-26,780,15,2
2021-03-05,800,10,1
2021-03-12,810,15,2
2021-03-19,825,15,2
2021-03-26,840,15,2
2021-04-24,885,NA,NA
2021-04-30,890,5,1
2021-05-07,900,10,1
2021-05-14,910,15,2
2021-05-21,930,15,2
2021-05-28,955,25,3
2021-06-04,970,25,3
2021-06-11,1020,50,7
2021-06-18,1060,40,6
2021-06-25,1105,45,6
